Date,Q_EPS_Diluted,,,,,,,,,,,,
2/26/2021,2.05,2.026102684,2.026102684,2.07010551,2.062575251,,,,,,,,
11/30/2020,2.22,2.232147025,2.232147025,2.254114889,2.254180602,,,,,,,,
8/31/2020,2.82,3.04487748,3.04487748,2.990152403,2.975518395,,,,,,,,
5/29/2020,2.32,2.335169195,2.335169195,2.403622509,2.411973244,,,,,,,,
2/28/2020,1.71,1.77,1.77,1.8,1.83,2,2.01,2.05,2.35,2.38,2.29,2.44,
11/29/2019,1.91,1.95,1.95,1.96,1.97,2,2.23,2.25,2.31,2.32,2.37,2.52,2.65
8/30/2019,2.61,2.66,2.66,2.6,2.64,2.85,2.87,2.92,2.98,3.01,2.86,3.05,
5/31/2019,-1.459689028,2.04,2.09,2.11,2.14,2.32,2.33,2.37,2.44,2.46,2.43,2.59,
2/28/2019,6.372783408,1.71,1.73,1.76,2.26,2.28,2.11,2.29,2.12,2.1,,,
11/30/2018,1.555795093,2.06,2.08,2.39,2.48,2.3,2.28,2.15,,,,,
8/31/2018,5.867580025,2.6,2.61,2.86,2.84,2.44,,,,,,,
5/31/2018,3.774484928,2.43,2.47,2.44,,,,,,,,,
2/28/2018,4.63923727,1.75,1.71,1.77,,,,,,,,,
11/30/2017,2.441133927,1.89,1.95,1.99,1.9,1.88,1.87,,,,,,
8/31/2017,2.480804188,2.17,2.16,2.25,2.15,2.12,2,,,,,,
5/31/2017,2.003681043,1.98,1.88,1.87,1.8,,,,,,,,
2/28/2017,2.261492585,1.36,1.37,1.43,1.42,,,,,,,,
11/30/2016,1.975615098,1.72,1.7,,,,,,,,,,
8/31/2016,1.745198152,1.65,,,,,,,,,,,
5/31/2016,1.549908213,1.52,,,,,,,,,,,
2/29/2016,1.186211871,1.14,,,,,,,,,,,
11/30/2015,1.325356695,1.3,,,,,,,,,,,
8/31/2015,1.488848407,1.32,,,,,,,,,,,
5/29/2015,1.176209608,1.23,,,,,,,,,,,
2/27/2015,1.061293928,0.94,,,,,,,,,,,
11/28/2014,1.103956756,1.14,,,,,,,,,,,
8/29/2014,0.975099602,1.15,,,,,,,,,,,
5/30/2014,1.031653341,0.93,,,,,,,,,,,
2/28/2014,1.061293928,0.76,,,,,,,,,,,
11/29/2013,1.065215416,0.91,,,,,,,,,,,
8/30/2013,7.735036871,0.88,,,,,,,,,,,
5/31/2013,0.271443525,0.4,,,,,,,,,,,
2/28/2013,2.03776004,nan,,,,,,,,,,,
11/30/2012,0.577239372,nan,,,,,,,,,,,
8/31/2012,0.67482669,nan,,,,,,,,,,,
5/31/2012,0.378427529,nan,,,,,,,,,,,
2/29/2012,0.512532158,nan,,,,,,,,,,,
11/30/2011,0.516426604,nan,,,,,,,,,,,
8/31/2011,0.761543682,nan,,,,,,,,,,,
5/31/2011,0.346650288,nan,,,,,,,,,,,
2/28/2011,1.317412635,nan,,,,,,,,,,,
11/30/2010,0.653653043,nan,,,,,,,,,,,
8/31/2010,0.43239608,nan,,,,,,,,,,,
