Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,
12/31/2020,2.67,1/18/2020,2.67,,2.66,,3.22,,3.32,3.570664945,,,,,,,,,
9/30/2020,3.43,,3.43,,3.52,,3.42,,3.51,3.760593932,,,,,,,,,
6/30/2020,3.48,,3.48,,3.6,,3.77,,4.03,4.045487411,,,,,,,,,
3/31/2020,3.2,,3.2,,3.46,,3.62,,3.67,3.352246611,,,,,,,,,
12/31/2019,2.46,,2.46,,3.44,,3.66,,3.76,3.3,,,,,,,,,
9/30/2019,3.971902937,,3.83,,3.98,,3.96,,3.86,3.39,,,,,,,,,
7/1/2019,4.272151899,,4.41,,4.36,,4.26,,4.25,3.6,,,,,,,,,
3/29/2019,4.204185162,,3.57,,3.53,,3.55,,3.23,,,,,,,,,,
12/31/2018,3.634651601,,3.81,,3.54,,2.64,,,,,,,,,,,,
9/28/2018,4.276885043,,3.76,,3.52,,2.58,,3.65,,,,,,,,,,
6/29/2018,3.317102861,,3.63,,3.64,,2.93,,,,,,,,,,,,
3/29/2018,1.961375981,,2.93,,2.53,,,,,,,,,,,,,,
12/29/2017,-1.653590827,,2.67,,2.53,,2.17,,2.15,2.06,2.04,2.05,,,,,,,
9/29/2017,2.71257485,,2.46,,2.42,,2,,1.98,1.92,1.96,1.97,,,,,,,
6/30/2017,2.52681764,,2.58,,2.19,,2.18,,2.21,2.3,2.16,,,,,,,,
3/31/2017,2.357142857,,1.81,,1.75,,1.76,,1.82,1.87,1.85,,,,,,,,
12/30/2016,2.248661511,,1.99,,1.98,,1.97,,1.99,2.12,2.66,2.86,2.96,,,,,,
9/30/2016,1.718192628,,1.96,,1.94,,1.97,,1.94,1.93,2.12,2.65,2.83,2.86,,,,,
7/1/2016,2.402366864,,2.16,,2.14,,2.15,,2.18,2.33,2.69,2.88,2.84,1.78,,,,,
4/1/2016,1.86627907,,1.78,,1.79,,1.84,,1.92,2.26,2.4,2.48,2.11,,,,,,
12/31/2015,0.907553551,,2.11,,2.13,,2.15,,2.65,2.68,2.69,2.68,2.7,2.9,2.92,2.94,3,2.92,2.89
9/30/2015,2.14205186,,2.6,,2.63,,2.65,,2.64,2.65,2.83,2.86,2.84,2.72,2.76,2.73,2.72,,
6/30/2015,2.616666667,,2.56,,2.6,,2.64,,2.83,2.81,2.86,2.93,2.91,,,,,,
3/27/2015,2.138121547,,2.14,,2.17,,2.35,,2.33,2.32,2.31,2.35,2.38,2.37,2.46,,,,
12/31/2014,2.440901594,,2.51,,2.48,,2.44,,2.46,2.45,2.47,2.48,2.47,2.4,2.41,2.58,2.6,2.54,2.28
9/30/2014,2.315270936,,2.28,,2.3,,2.29,,2.3,2.31,2.36,2.38,2.45,2.37,2.39,,,,
6/30/2014,2.434497817,,2.38,,2.39,,2.38,,2.36,2.37,2.36,2.49,2.48,2.63,2.64,2.5,1.67,,
3/31/2014,1.829994586,,1.67,,1.68,,1.94,,1.95,2.19,2.2,2.14,1.98,,,,,,
12/31/2013,2.322580645,,1.98,,1.99,,2.33,,2.37,2.33,2.1,,,,,,,,
9/30/2013,1.903485255,,2.11,,2.14,,2.11,,2.12,1.98,,,,,,,,,
6/28/2013,2.19978746,,1.99,,2.01,,2,,2.14,2.15,2.16,1.86,,,,,,,
3/28/2013,1.493644068,,1.86,,1.87,,1.88,,1.98,1.96,2,2.01,2.02,1.74,,,,,
12/31/2012,1.954449153,,1.75,,1.76,,1.84,,,,,,,,,,,,
9/28/2012,1.862433862,,1.86,,,,,,,,,,,,,,,,
6/29/2012,2.467122567,,2.27,,,,,,,,,,,,,,,,
3/30/2012,2.379707113,,2.22,,,,,,,,,,,,,,,,
12/30/2011,2.861618799,,nan,,,,,,,,,,,,,,,,
9/23/2011,2.345614946,,nan,,,,,,,,,,,,,,,,
6/24/2011,2.597736626,,nan,,,,,,,,,,,,,,,,
3/25/2011,1.749107598,,nan,,,,,,,,,,,,,,,,
12/31/2010,1.836631152,,nan,,,,,,,,,,,,,,,,
9/24/2010,1.441670912,,nan,,,,,,,,,,,,,,,,
6/25/2010,1.246832235,,nan,,,,,,,,,,,,,,,,
3/26/2010,0.749874182,,nan,,,,,,,,,,,,,,,,
12/31/2009,1.365705615,,nan,,,,,,,,,,,,,,,,
9/25/2009,0.480283114,,nan,,,,,,,,,,,,,,,,
6/26/2009,0.283687943,,nan,,,,,,,,,,,,,,,,
3/27/2009,0.035532995,,nan,,,,,,,,,,,,,,,,
12/31/2008,0.22,,nan,,,,,,,,,,,,,,,,
9/30/2008,1.17,,nan,,,,,,,,,,,,,,,,
6/30/2008,1.49,,nan,,,,,,,,,,,,,,,,
3/31/2008,0.97,,nan,,,,,,,,,,,,,,,,
12/31/2007,1,,nan,,,,,,,,,,,,,,,,
9/28/2007,0.92,,nan,,,,,,,,,,,,,,,,
6/29/2007,1.06,,nan,,,,,,,,,,,,,,,,
3/30/2007,0.71,,nan,,,,,,,,,,,,,,,,
12/29/2006,0.94,,nan,,,,,,,,,,,,,,,,
9/29/2006,0.84,,nan,,,,,,,,,,,,,,,,
6/30/2006,1.1,,nan,,,,,,,,,,,,,,,,
3/31/2006,0.68,,nan,,,,,,,,,,,,,,,,
12/30/2005,0.8275,,nan,,,,,,,,,,,,,,,,
9/30/2005,0.725,,nan,,,,,,,,,,,,,,,,
6/30/2005,0.7075,,nan,,,,,,,,,,,,,,,,
3/31/2005,0.49,,nan,,,,,,,,,,,,,,,,
12/31/2004,0.66,,nan,,,,,,,,,,,,,,,,
9/24/2004,0.6,,nan,,,,,,,,,,,,,,,,
6/25/2004,0.44,,nan,,,,,,,,,,,,,,,,
3/26/2004,0.19,,nan,,,,,,,,,,,,,,,,
12/31/2003,0.2775,,nan,,,,,,,,,,,,,,,,
9/26/2003,0.15,,nan,,,,,,,,,,,,,,,,
6/27/2003,0.085,,nan,,,,,,,,,,,,,,,,
3/28/2003,-0.1975,,nan,,,,,,,,,,,,,,,,
12/31/2002,0.3975,,nan,,,,,,,,,,,,,,,,
9/27/2002,0.24,,nan,,,,,,,,,,,,,,,,
6/28/2002,0.0825,,nan,,,,,,,,,,,,,,,,
3/28/2002,-0.1875,,nan,,,,,,,,,,,,,,,,
12/31/2001,0.02,,nan,,,,,,,,,,,,,,,,
9/21/2001,0.02,,nan,,,,,,,,,,,,,,,,
6/22/2001,-0.535,,nan,,,,,,,,,,,,,,,,
3/23/2001,-0.17,,nan,,,,,,,,,,,,,,,,
12/29/2000,-0.7475,,nan,,,,,,,,,,,,,,,,
9/22/2000,0.165,,nan,,,,,,,,,,,,,,,,
6/23/2000,0.405,,nan,,,,,,,,,,,,,,,,
3/24/2000,0.2725,,nan,,,,,,,,,,,,,,,,
12/31/1999,0.17,,nan,,,,,,,,,,,,,,,,
9/24/1999,0.3375,,nan,,,,,,,,,,,,,,,,
6/25/1999,0.375,,nan,,,,,,,,,,,,,,,,
