Date,Q_EPS_Diluted,,,,,
12/31/2020,0.38,0.38,0.42,0.372272727,0.759365079,
9/30/2020,0.3895,0.3895,0.41,0.381818182,0.554920635,
6/30/2020,0.4085,0.4085,0.43,0.391363636,0.574391534,
3/31/2020,0.342,0.342,0.36,0.343636364,0.438095238,
12/31/2019,0.4,0.4,0.42,0.39,0.48,0.78
9/30/2019,0.41,0.41,0.4,0.39,0.57,
6/28/2019,0.332830648,0.43,0.41,0.43,0.59,
3/29/2019,0.298034857,0.36,0.34,0.45,,
12/31/2018,2.327999365,0.65,,,,
9/28/2018,0.415382444,0.49,,,,
6/29/2018,0.481715006,0.55,,,,
3/29/2018,0.260474086,0.53,,,,
12/29/2017,0.489852251,0.42,,,,
9/29/2017,0.198395606,0.31,,,,
6/30/2017,0.291757635,0.27,,,,
3/31/2017,0.139983047,0.27,,,,
12/30/2016,0.211917995,0.19,,,,
9/30/2016,0.123228382,0.19,,,,
6/30/2016,0.117418514,0.12,,,,
3/31/2016,0.039186061,0.1,,,,
12/31/2015,0.037243899,0.01,,,,
9/30/2015,-0.039589937,-0.03,,,,
6/30/2015,-0.067719307,-0.06,,,,
3/31/2015,-0.093033194,-0.08,,,,
12/31/2014,-0.139283903,nan,,,,
9/30/2014,-0.188072502,nan,,,,
6/30/2014,-0.572782814,nan,,,,
3/31/2014,-0.616271767,nan,,,,
12/31/2013,-0.46,nan,,,,
9/30/2013,-0.44,nan,,,,
6/28/2013,-0.37,nan,,,,
3/28/2013,-0.39,nan,,,,
12/31/2012,-0.33,nan,,,,
9/28/2012,-0.37,nan,,,,
6/29/2012,-0.42,nan,,,,
3/30/2012,0.93,nan,,,,
12/30/2011,-0.45,nan,,,,
9/30/2011,-0.37,nan,,,,
6/30/2011,-0.31,nan,,,,
3/31/2011,-0.28,nan,,,,
12/31/2010,-0.25,nan,,,,
9/30/2010,-0.29,nan,,,,
6/30/2010,-0.28,nan,,,,
3/31/2010,-0.35,nan,,,,
12/31/2009,-0.35,nan,,,,
9/30/2009,-0.35,nan,,,,
6/30/2009,-0.35,nan,,,,
3/31/2009,-0.31,nan,,,,
12/31/2008,-0.26,nan,,,,
9/30/2008,-0.34,nan,,,,
6/30/2008,-0.44,nan,,,,
3/31/2008,-0.49,nan,,,,
12/31/2007,-0.54,nan,,,,
9/28/2007,-0.53,nan,,,,
6/29/2007,-0.75,nan,,,,
3/30/2007,-0.82,nan,,,,
12/29/2006,-0.63,nan,,,,
9/29/2006,-0.63,nan,,,,
6/30/2006,-0.7,nan,,,,
3/31/2006,-0.86,nan,,,,
12/30/2005,-0.79,nan,,,,
9/30/2005,-0.71,nan,,,,
6/30/2005,-0.6,nan,,,,
3/31/2005,-0.59,nan,,,,
