Date,Q_EPS_Diluted,,,,,,,,,,,,
8/31/2020,1.33,1.55,1.55,1.61,1.62,1.71,1.72,1.73,1.713694915,1.6075,1.6125,,
5/29/2020,1.47,1.61,1.61,1.64,1.65,1.74,1.75,1.76,1.790101695,1.6075,1.6125,,
2/28/2020,1.25,1.35,1.35,1.38,1.42,1.43,1.484474576,1.6075,1.6125,,,,
11/29/2019,1.29,1.41,1.41,1.46,1.438576271,1.6075,1.6125,,,,,,
8/30/2019,1.24,1.45,1.45,1.48,1.56,1.58,1.57,1.56,1.53,1.54,1.61,1.57,1.49
5/31/2019,1.437178399,1.49,1.5,1.61,1.62,1.63,1.64,1.84,1.64,1.65,1.66,,
3/1/2019,1.235938008,1.26,1.36,1.37,1.36,1.39,,,,,,,
11/30/2018,1.329583923,1.32,1.35,1.37,1.4,1.44,,,,,,,
8/31/2018,1.289147259,1.29,1.28,1.38,1.37,1.13,1.18,,,,,,
6/1/2018,1.390729526,1.39,1.41,1.2,1.21,,,,,,,,
3/2/2018,2.06401603,1.32,1,1.02,,,,,,,,,
11/30/2017,1.054527113,1.06,1.05,,,,,,,,,,
8/31/2017,1.066296888,0.99,1,1.05,1.03,1,1.03,1.04,,,,,
6/2/2017,1.097303716,1.09,1.08,1.05,1.1,1.09,,,,,,,
3/3/2017,0.934053449,0.9,0.87,,,,,,,,,,
12/2/2016,0.95299795,0.93,0.95,0.97,,,,,,,,,
9/2/2016,1.026012807,0.98,0.99,1.02,0.98,1.06,,,,,,,
5/27/2016,1.052078411,1,0.99,1,0.99,1.12,,,,,,,
2/26/2016,0.80774061,0.78,0.79,0.91,1.13,,,,,,,,
11/30/2015,0.892033611,0.87,1,0.95,1.02,1.11,,,,,,,
8/31/2015,0.961066875,0.95,0.97,0.99,1.12,1.14,1.18,1.23,,,,,
5/29/2015,1.03122558,0.96,0.97,1.12,1.15,1.22,1.23,,,,,,
2/27/2015,0.83693922,0.85,0.87,0.88,0.93,0.92,1.01,1.02,1.08,,,,
11/28/2014,0.912856261,0.98,1.01,0.99,0.98,1.08,1.09,1.1,1.11,1.02,,,
8/29/2014,1.012851522,1.01,1.03,1.04,1.07,1.06,1.22,1.06,,,,,
5/30/2014,1.039927988,1.06,1.07,1.08,1.09,1.23,0.85,,,,,,
2/28/2014,0.797937147,0.85,0.87,0.92,0.95,0.92,1.08,0.94,,,,,
