Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
12/31/2020,1.36,3/15/2020,1.32,3/8/2020,1.32,,1.39,,1.37,,1.36,,1.447731959,,1.475142119,,,,,,,,
9/30/2020,1.01,,1.05,,1.05,,1.12,,1.13,,1.14,,1.109149485,,1.106356589,,,,,,,,
6/30/2020,0.88,,0.94,,0.94,,1,,1.02,,0.934020619,,0.887390181,,,,,,,,,,
3/31/2020,0.93,,1.03,,1.03,,1.09,,1.12,,1.050773196,,1.002635659,,,,,,,,,,
12/31/2019,1.27,,1.24,,1.27,,1.24,,1.25,,1.24,,1.27,,1.28,,1.26,,1.25,,1.28,,1.31
9/30/2019,0.805267913,,0.84,,0.94,,0.95,,0.96,,0.98,,0.99,,1.02,,1.04,,,,,,
6/28/2019,0.764009617,,0.82,,0.79,,0.8,,0.77,,0.82,,0.85,,0.86,,0.85,,,,,,
3/29/2019,0.977025975,,0.9,,0.88,,0.87,,0.91,,0.98,,0.99,,0.97,,,,,,,,
12/31/2018,1.094205208,,1.11,,1.16,,1.02,,,,,,,,,,,,,,,,
9/28/2018,0.755394868,,0.8,,0.82,,0.75,,,,,,,,,,,,,,,,
6/29/2018,0.66982661,,0.65,,0.63,,,,,,,,,,,,,,,,,,
3/29/2018,0.89578089,,0.75,,,,,,,,,,,,,,,,,,,,
12/29/2017,1.434677624,,0.84,,0.82,,0.87,,,,,,,,,,,,,,,,
9/29/2017,0.593144248,,0.6,,0.62,,0.71,,,,,,,,,,,,,,,,
6/30/2017,0.315579117,,0.46,,0.5,,0.6,,,,,,,,,,,,,,,,
3/31/2017,0.674455601,,0.61,,0.59,,0.67,,,,,,,,,,,,,,,,
12/30/2016,0.756037254,,0.76,,0.8,,0.96,,1.01,,1.06,,,,,,,,,,,,
9/30/2016,-0.040772718,,0.52,,0.58,,0.69,,0.74,,0.76,,,,,,,,,,,,
6/30/2016,0.413305952,,0.47,,0.44,,0.49,,0.55,,,,,,,,,,,,,,
3/31/2016,0.466484898,,0.44,,0.43,,0.56,,0.65,,,,,,,,,,,,,,
12/31/2015,0.690821084,,0.76,,0.81,,0.92,,0.94,,0.99,,0.94,,0.96,,1.13,,1.14,,,,
9/30/2015,0.395868764,,0.61,,0.62,,0.71,,0.72,,0.74,,0.81,,0.83,,,,,,,,
6/30/2015,0.46950125,,0.47,,0.52,,0.58,,0.6,,0.69,,0.66,,,,,,,,,,
3/31/2015,0.586582809,,0.58,,0.61,,0.77,,0.73,,0.99,,,,,,,,,,,,
12/31/2014,0.935321483,,0.98,,1,,0.97,,1.1,,1.12,,1.16,,0.69,,,,,,,,
9/30/2014,0.677937858,,0.68,,0.75,,0.84,,0.86,,0.54,,,,,,,,,,,,
6/30/2014,0.545823251,,0.53,,0.55,,0.71,,0.67,,,,,,,,,,,,,,
3/31/2014,0.773021607,,0.66,,0.73,,0.76,,0.89,,,,,,,,,,,,,,
12/31/2013,0.842989828,,0.88,,0.94,,0.68,,,,,,,,,,,,,,,,
9/30/2013,0.788369162,,0.65,,0.67,,0.56,,,,,,,,,,,,,,,,
6/28/2013,0.52910178,,0.56,,0.66,,0.68,,,,,,,,,,,,,,,,
3/28/2013,0.676481389,,0.68,,0.69,,0.91,,,,,,,,,,,,,,,,
12/28/2012,0.930661363,,0.91,,0.89,,0.68,,,,,,,,,,,,,,,,
9/28/2012,0.641828067,,0.72,,,,,,,,,,,,,,,,,,,,
6/29/2012,0.556012787,,0.56,,,,,,,,,,,,,,,,,,,,
3/30/2012,0.576944618,,0.55,,,,,,,,,,,,,,,,,,,,
12/30/2011,0.695371751,,nan,,,,,,,,,,,,,,,,,,,,
9/30/2011,0.590895977,,nan,,,,,,,,,,,,,,,,,,,,
6/30/2011,0.481282751,,nan,,,,,,,,,,,,,,,,,,,,
3/31/2011,0.703226812,,nan,,,,,,,,,,,,,,,,,,,,
12/31/2010,0.617570896,,nan,,,,,,,,,,,,,,,,,,,,
9/30/2010,0.458651461,,nan,,,,,,,,,,,,,,,,,,,,
6/30/2010,0.382676756,,nan,,,,,,,,,,,,,,,,,,,,
