Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,
,12/31/2021,0.97,7/3/2020,0.99,5/25/2020,1.25,4/23/2020,1.25,3/30/2020,,,,,,,,,,,,,
,9/30/2021,0.86,,0.86,,1.13,,1.13,,,,,,,,,,,,,,
,6/30/2021,0.75,,0.77,,0.98,,0.98,,,,,,,,,,,,,,
,3/31/2021,0.54,,0.54,,0.69,,0.69,,,,,,,,,,,,,,
,12/31/2020,0.84,3/30/2020,0.8,3/30/2020,1.02,3/30/2020,1.2,3/30/2020,1.27,3/1/2020,1.26,1/29/2020,1.19,1/24/2020,1.19,,1.11,,1.13,1.092492114,
,9/30/2020,0.76,,0.72,,0.88,,1.07,,1.16,,1.14,,1.09,,1.09,,1,,0.99,0.98,0.913911672
,6/30/2020,0.87,,0.86,,0.87,,1,,1.04,,1.01,,0.97,,0.97,,0.92,,0.91,0.88,0.819369085
4/23/2020,3/31/2020,0.74,,0.7,,0.7,,0.69,,0.66,,0.66,,0.63,,0.62,0.58,0.493722397,,,,
1/28/2020,12/31/2019,1.22,,1.09,,1.09,,1.05,,1.08,1.07,1.04,1.14,1.18,1.2,1.22,1.26,1.28,,,,
10/22/2019,9/30/2019,0.998070401,,0.92,,0.91,,0.93,0.92,0.87,0.98,1,0.99,1.01,0.95,0.93,,,,,,
7/23/2019,6/28/2019,0.868353363,,0.83,,0.77,,0.78,0.88,0.91,0.93,0.95,0.85,,,,,,,,,
4/23/2019,3/29/2019,0.598467557,,0.47,,0.59,,0.61,0.62,0.63,0.64,0.65,0.66,,,,,,,,,
1/29/2019,12/31/2018,0.848104292,,1.1,,1.11,,1.09,1.1,1.15,1.16,1.14,1.13,1.14,1.01,0.97,0.98,1,1.01,,,
10/23/2018,9/28/2018,1.017082818,,0.95,,0.94,,0.95,0.84,0.83,0.81,0.72,0.71,0.72,0.73,,,,,,,
7/26/2018,6/29/2018,1.13059298,,0.75,,0.74,,0.7,0.61,0.59,0.56,0.66,,,,,,,,,,
4/24/2018,3/29/2018,0.592831897,,0.45,,0.47,,0.44,0.4,,,,,,,,,,,,,
1/30/2018,12/29/2017,0.263768689,,0.85,,0.87,,0.89,0.91,0.9,0.87,0.78,0.74,,,,,,,,,
10/24/2017,9/29/2017,0.591347243,,0.59,,0.6,,0.62,0.61,0.57,0.52,0.41,,,,,,,,,,
7/25/2017,6/30/2017,0.320979355,,0.41,,0.45,,0.44,0.45,0.44,0.43,0.38,,,,,,,,,,
4/25/2017,3/31/2017,0.285917803,,0.29,,0.3,,0.31,0.29,,,,,,,,,,,,,
1/26/2017,12/30/2016,0.833326724,,0.59,,0.61,,0.62,,,,,,,,,,,,,,
10/20/2016,9/30/2016,0.375181429,,0.44,,0.43,,,,,,,,,,,,,,,,
7/21/2016,6/30/2016,0.338391777,,0.32,,0.33,,0.31,,,,,,,,,,,,,,
4/21/2016,3/31/2016,0.237676081,,0.2,,,,,,,,,,,,,,,,,,
,12/31/2015,0.648274607,,0.49,,,,,,,,,,,,,,,,,,
,9/30/2015,0.30496757,,0.43,,,,,,,,,,,,,,,,,,
,6/30/2015,0.283669329,,0.26,,,,,,,,,,,,,,,,,,
,3/31/2015,0.148526114,,0.2,,,,,,,,,,,,,,,,,,
,12/31/2014,0.581605124,,0.4,,,,,,,,,,,,,,,,,,
,9/30/2014,0.372509886,,0.36,,,,,,,,,,,,,,,,,,
,6/30/2014,0.110308062,,0.25,,,,,,,,,,,,,,,,,,
,3/31/2014,0.192928939,,0.2,,,,,,,,,,,,,,,,,,
,12/31/2013,0.573466867,,0.44,,,,,,,,,,,,,,,,,,
,9/30/2013,5.910039549,,0.36,,,,,,,,,,,,,,,,,,
,6/28/2013,0.09309525,,0.3,,,,,,,,,,,,,,,,,,
,3/28/2013,0.209473741,,0.15,,,,,,,,,,,,,,,,,,
,12/31/2012,0.150889793,,0.31,,,,,,,,,,,,,,,,,,
,9/28/2012,0.303281587,,0.2,,,,,,,,,,,,,,,,,,
,6/29/2012,0.111030002,,0.05,,,,,,,,,,,,,,,,,,
,3/30/2012,-0.030659497,,0.02,,,,,,,,,,,,,,,,,,
,12/30/2011,0.036250757,,,,,,,,,,,,,,,,,,,,
,9/30/2011,-0.340235511,,,,,,,,,,,,,,,,,,,,
,6/30/2011,-0.145834046,,,,,,,,,,,,,,,,,,,,
,3/31/2011,-0.104140758,,,,,,,,,,,,,,,,,,,,
,12/31/2010,-0.43,,,,,,,,,,,,,,,,,,,,
,9/30/2010,-2.63,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.2,,,,,,,,,,,,,,,,,,,,
,3/31/2010,-0.03,,,,,,,,,,,,,,,,,,,,
,12/31/2009,-0.29,,,,,,,,,,,,,,,,,,,,
,9/30/2009,-1.15,,,,,,,,,,,,,,,,,,,,
,6/30/2009,-0.74,,,,,,,,,,,,,,,,,,,,
,3/31/2009,-2.02,,,,,,,,,,,,,,,,,,,,
,12/31/2008,-1.34,,,,,,,,,,,,,,,,,,,,
,9/30/2008,-1.11,,,,,,,,,,,,,,,,,,,,
,6/30/2008,-0.63,,,,,,,,,,,,,,,,,,,,
,3/31/2008,-2.75,,,,,,,,,,,,,,,,,,,,
,12/31/2007,-3.5,,,,,,,,,,,,,,,,,,,,
,9/28/2007,-3.12,,,,,,,,,,,,,,,,,,,,
,6/29/2007,-2.01,,,,,,,,,,,,,,,,,,,,
,3/30/2007,-0.34,,,,,,,,,,,,,,,,,,,,
,12/29/2006,-0.02,,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.74,,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.94,,,,,,,,,,,,,,,,,,,,
,3/31/2006,1.01,,,,,,,,,,,,,,,,,,,,
,12/30/2005,2.19,,,,,,,,,,,,,,,,,,,,
