Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,
8/31/2021,1.05,3/22/2020,1.17,2/21/2020,1.17,1/21/2020,1.191217391,1/20/2020,1.191217391,,,,,,
5/28/2021,0.79,,0.88,,0.88,,0.855826087,,0.855826087,,,,,,
2/26/2021,0.8,,0.83,,0.83,,0.832695652,,0.832695652,,,,,,
11/30/2020,1.09,,1.18,,1.18,,1.098695652,,1.098695652,,,,,,
8/31/2020,0.85,,1.04,,1.04,,1.04,,1.04,,1.03,,0.99,0.98,0.835
5/29/2020,0.5,,0.8,,0.8,,0.74,,0.74,,0.73,,0.72,0.66,0.835
2/28/2020,-0.02,,0.72,,0.71,,0.71,,0.72,,0.71,0.73,0.835,,
11/29/2019,0.25835027,,0.94,,0.95,,0.93,1,0.835,,,,,,
8/30/2019,0.335550162,,0.87,,0.9,,0.87,0.84,0.82,,,,,,
5/31/2019,0.279307288,,0.57,,0.56,,0.61,0.55,0.54,,,,,,
2/28/2019,0.429726229,,0.61,,0.71,,0.69,,,,,,,,
11/30/2018,0.755178102,,0.88,,0.87,,0.89,0.87,,,,,,,
8/31/2018,-0.34326338,,0.68,,0.69,,0.7,0.68,,,,,,,
5/31/2018,0.245505803,,0.45,,0.42,,0.4,,,,,,,,
2/28/2018,0.210835646,,0.62,,0.65,,0.56,,,,,,,,
11/30/2017,0.354017414,,0.79,,0.83,,0.81,0.8,,,,,,,
8/31/2017,0.249643398,,0.61,,0.62,,0.6,0.51,0.52,0.63,0.64,,,,
5/31/2017,-0.139644715,,0.29,,0.28,,0.43,0.42,0.49,0.5,,,,,
2/28/2017,0.111696665,,0.46,,0.53,,0.61,,,,,,,,
11/30/2016,0.468587642,,0.64,,0.6,,0.77,0.9,0.25,,,,,,
8/31/2016,0.198667029,,0.25,,0.53,,0.55,0.65,0.62,,,,,,
5/31/2016,0.02700071,,0.16,,0.53,,0.59,0.58,0.57,0.6,,,,,
2/29/2016,0.408341697,,0.6,,0.62,,0.55,0.54,0.56,,,,,,
11/30/2015,0.682482677,,0.8,,0.61,,0.64,0.65,,,,,,,
8/31/2015,0.446659299,,0.45,,0.47,,0.54,0.5,,,,,,,
5/29/2015,0.367812169,,0.49,,0.47,,0.43,0.44,,,,,,,
2/27/2015,0.265775836,,0.45,,0.38,,0.39,0.32,,,,,,,
11/28/2014,0.369466602,,0.48,,0.47,,0.41,0.38,-0.07,,,,,,
8/29/2014,-0.132272674,,0,,0.02,,0.01,0.28,0.67,-0.15,,,,,
5/30/2014,0.931918538,,-0.09,,0.19,,0.61,0.02,,,,,,,
2/28/2014,-0.188388851,,0.11,,0.55,,0.47,,,,,,,,
11/29/2013,0.570186594,,0.54,,0.56,,,,,,,,,,
8/30/2013,0.609197993,,0.47,,0.54,,0.6,,,,,,,,
5/31/2013,0.241283621,,0.46,,0.54,,0.61,0.63,,,,,,,
2/27/2013,0.428101004,,0.46,,0.54,,0.55,0.6,,,,,,,
11/30/2012,0.509330369,,0.47,,0.56,,,,,,,,,,
8/31/2012,0.392687589,,0.5,,,,,,,,,,,,
5/31/2012,0.478961525,,0.56,,,,,,,,,,,,
2/28/2012,0.460518129,,0.49,,,,,,,,,,,,
11/29/2011,0.537647008,,nan,,,,,,,,,,,,
8/31/2011,0.517798649,,nan,,,,,,,,,,,,
5/31/2011,0.470884288,,nan,,,,,,,,,,,,
2/28/2011,0.250667354,,nan,,,,,,,,,,,,
11/30/2010,0.490683287,,nan,,,,,,,,,,,,
8/31/2010,0.269723388,,nan,,,,,,,,,,,,
5/28/2010,0.240303526,,nan,,,,,,,,,,,,
2/26/2010,0.138899236,,nan,,,,,,,,,,,,
11/30/2009,0.131535997,,nan,,,,,,,,,,,,
8/31/2009,0.026603608,,nan,,,,,,,,,,,,
5/29/2009,-0.138819441,,nan,,,,,,,,,,,,
2/27/2009,-4.189907649,,nan,,,,,,,,,,,,
11/28/2008,-1.336445248,,nan,,,,,,,,,,,,
8/29/2008,0.28,,nan,,,,,,,,,,,,
5/30/2008,0.19,,nan,,,,,,,,,,,,
2/28/2008,-0.12,,nan,,,,,,,,,,,,
11/30/2007,0.3,,nan,,,,,,,,,,,,
8/31/2007,0.06,,nan,,,,,,,,,,,,
5/31/2007,0.03,,nan,,,,,,,,,,,,
2/28/2007,0.07,,nan,,,,,,,,,,,,
11/30/2006,0.2,,nan,,,,,,,,,,,,
8/31/2006,-0.22,,nan,,,,,,,,,,,,
5/31/2006,0.3,,nan,,,,,,,,,,,,
2/28/2006,0.32,,nan,,,,,,,,,,,,
11/30/2005,0.37,,nan,,,,,,,,,,,,
8/31/2005,-0.06,,nan,,,,,,,,,,,,
5/31/2005,-0.03,,nan,,,,,,,,,,,,
2/28/2005,-0.02,,nan,,,,,,,,,,,,
