CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
N,,6/30/2021,0.65,9/13/2020,0.66,8/4/2020,0.68,7/2/2020,0.68,5/22/2020,0.68,5/21/2020,,,,,,,,,,,,,,
,,3/31/2021,0.6,,0.61,,0.61,,0.61,,0.61,,,,,,,,,,,,,,,
,,12/31/2020,0.55,,0.57,,0.58,,0.58,,0.58,,,,,,,,,,,,,,,
,,9/30/2020,0.47,,0.51,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,0.49,,0.57,,0.57,,0.57,,,,,,,,,,,,,,,,,
,4/28/2020,3/31/2020,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,
,1/28/2020,12/31/2019,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,
,10/29/2019,9/30/2019,0.35,,0.35,,,,,,,,,,,,,,,,,,,,,
,10/29/2019,6/28/2019,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,
,1/29/2019,12/31/2018,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,
,7/31/2018,6/29/2018,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,
,4/24/2018,3/29/2018,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,
,1/23/2018,12/29/2017,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,10/24/2017,9/29/2017,0.38,,0.38,,,,,,,,,,,,,,,,,,,,,
,8/1/2017,6/30/2017,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,4/25/2017,3/31/2017,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,
,1/23/2017,12/30/2016,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,
,10/25/2016,9/30/2016,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,-0.24,,-0.24,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,
,,1/15/2014,-0.03,,-0.03,,,,,,,,,,,,,,,,,,,,,
,,10/14/2013,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,
,,7/15/2013,-0.07,,-0.07,,,,,,,,,,,,,,,,,,,,,
,,4/12/2013,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,
,,1/14/2013,-0.16,,-0.16,,,,,,,,,,,,,,,,,,,,,
,,10/12/2012,-0.24,,-0.24,,,,,,,,,,,,,,,,,,,,,
,,7/16/2012,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,,4/16/2012,0.17,,0.17,,,,,,,,,,,,,,,,,,,,,
,,1/17/2012,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,
,,10/14/2011,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,
,,7/15/2011,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,
,,4/14/2011,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,
,,1/14/2011,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,
,,10/14/2010,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,
,,7/15/2010,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,
,,4/15/2010,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,
,,1/15/2010,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,
,,10/14/2009,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,,7/15/2009,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,
,,4/15/2009,0.36,,0.36,,,,,,,,,,,,,,,,,,,,,
,,1/15/2009,-0.77,,-0.77,,,,,,,,,,,,,,,,,,,,,
,,10/14/2008,-0.06,,-0.06,,,,,,,,,,,,,,,,,,,,,
,,7/15/2008,-0.94,,-0.94,,,,,,,,,,,,,,,,,,,,,
,,4/14/2008,-0.26,,-0.26,,,,,,,,,,,,,,,,,,,,,
,,1/15/2008,-0.28,,-0.28,,,,,,,,,,,,,,,,,,,,,
,,10/12/2007,-0.15,,-0.15,,,,,,,,,,,,,,,,,,,,,
