Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,1/29/2021,1.5,3/22/2020,1.4,2/22/2020,1.4,1/23/2020,1.4,,1.34,,1.21,1.24,1.17,1.24,1.256540541
,10/30/2020,0.76,,0.79,,0.79,,0.79,,0.76,,0.62,0.66,0.58,0.63,0.606972973
,7/31/2020,0.37,,0.41,,0.41,,0.41,,0.39,,0.31,0.38,0.21,0.212972973,
,4/30/2020,0.05,,0.08,,0.08,,0.08,,0.05,,0.06,0.07,0.05,-0.09,-0.09583783800000001
,1/31/2020,1.48,,1.36,,1.36,,1.3,,1.17,1.18,1.14,1.18,1.13,1.07,
,11/1/2019,0.7503521129999999,,0.6,,0.54,,0.57,0.54,0.56,,,,,,
,8/2/2019,0.355286985,,0.19,,0.2,,0.19,,,,,,,,
,5/3/2019,0.031280817,,-0.09,,-0.05,,-0.06,,,,,,,,
,2/1/2019,1.175545852,,1.11,,1.06,,1.11,,,,,,,,
,11/2/2018,0.547207157,,0.49,,0.6,,0.49,,,,,,,,
,8/3/2018,0.173773225,,0.14,,-0.02,,-0.03,,,,,,,,
,5/4/2018,-0.104989731,,-0.12,,-0.14,,-0.15,,,,,,,,
,2/2/2018,0.798982086,,0.9,,0.78,,0.77,,,,,,,,
,10/27/2017,0.480607966,,0.48,,0.47,,0.44,0.45,-0.06,,,,,,
,7/31/2017,-0.024626352,,-0.06,,-0.2,,0.0,0.02,,,,,,,
,4/28/2017,-0.18096013,,-0.2,,-0.18,,-0.04,,,,,,,,
,1/27/2017,0.7364626790000001,,0.66,,0.64,,,,,,,,,,
,10/28/2016,0.43436763899999997,,0.36,,0.4,,0.37,0.59,,,,,,,
,7/29/2016,-0.033910651,,-0.08,,0.07,,0.11,0.16,0.19,,,,,,
,4/29/2016,-0.084852095,,-0.11,,-0.09,,-0.01,0.1,0.13,,,,,,
,1/29/2016,0.501870229,,0.5,,0.43,,0.66,0.84,,,,,,,
,10/30/2015,0.362867454,,0.29,,0.56,,0.61,0.59,0.62,,,,,,
,7/31/2015,0.112978656,,0.12,,0.15,,0.29,0.28,0.26,,,,,,
,4/30/2015,0.093942888,,0.12,,0.13,,0.14,,,,,,,,
,1/30/2015,0.5978153270000001,,0.79,,0.73,,0.76,0.77,0.53,,,,,,
,10/31/2014,0.539575256,,0.53,,0.52,,0.54,0.22,,,,,,,
,8/1/2014,0.256599098,,0.23,,0.22,,0.18,0.22,0.05,,,,,,
,5/2/2014,0.08544141300000001,,0.05,,0.03,,0.14,0.15,0.61,,,,,,
,1/31/2014,0.890905471,,0.62,,0.69,,0.79,0.45,,,,,,,
,11/1/2013,0.391975411,,0.46,,0.17,,,,,,,,,,
,8/2/2013,0.156754432,,0.17,,0.12,,,,,,,,,,
,5/3/2013,0.08276182,,0.12,,0.13,,0.16,0.73,,,,,,,
,2/1/2013,0.74361474,,0.73,,0.71,,0.75,0.47,,,,,,,
,10/26/2012,0.40320219,,0.53,,,,,,,,,,,,
,7/27/2012,0.06630642099999999,,0.13,,,,,,,,,,,,
,4/26/2012,0.144167383,,,,,,,,,,,,,,
,1/27/2012,0.600333216,,,,,,,,,,,,,,
,10/28/2011,0.454244586,,,,,,,,,,,,,,
,7/29/2011,0.083362826,,,,,,,,,,,,,,
,4/29/2011,0.060674302,,,,,,,,,,,,,,
,1/28/2011,0.48727024700000005,,,,,,,,,,,,,,
,10/29/2010,0.400234055,,,,,,,,,,,,,,
,7/30/2010,-0.040528811,,,,,,,,,,,,,,
,4/30/2010,-0.063891318,,,,,,,,,,,,,,
,1/29/2010,0.29210500100000003,,,,,,,,,,,,,,
,10/30/2009,0.16773574900000002,,,,,,,,,,,,,,
,7/31/2009,-0.10459045300000001,,,,,,,,,,,,,,
,5/1/2009,-0.056558827,,,,,,,,,,,,,,
,1/30/2009,0.21,,,,,,,,,,,,,,
,10/31/2008,0.23,,,,,,,,,,,,,,
,7/31/2008,0.09,,,,,,,,,,,,,,
,4/30/2008,0.05,,,,,,,,,,,,,,
,1/31/2008,0.42,,,,,,,,,,,,,,
,10/31/2007,0.28,,,,,,,,,,,,,,
,7/31/2007,0.11,,,,,,,,,,,,,,
,4/30/2007,0.06,,,,,,,,,,,,,,
,1/31/2007,0.39,,,,,,,,,,,,,,
,10/31/2006,0.24,,,,,,,,,,,,,,
,7/31/2006,0.06,,,,,,,,,,,,,,
,4/28/2006,0.04,,,,,,,,,,,,,,
,1/31/2006,0.23,,,,,,,,,,,,,,
,10/31/2005,0.18,,,,,,,,,,,,,,
,7/29/2005,0.03,,,,,,,,,,,,,,
,4/29/2005,0.0,,,,,,,,,,,,,,
,1/31/2005,0.16,,,,,,,,,,,,,,
,10/29/2004,0.135,,,,,,,,,,,,,,
,7/30/2004,0.01,,,,,,,,,,,,,,
