Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,
12/31/2020,1.41,1/9/2020,1.42,9/18/2019,1.42,,1.42,,1.43,,1.458235294,,,,,,
9/30/2020,1.3,,1.27,,1.25,,1.25,,1.23,,1.251470588,,,,,,
6/30/2020,1.34,,1.34,,1.23,,1.23,,1.24,,1.284117647,,,,,,
3/31/2020,1.18,,1.18,,1.13,,1.13,,1.14,,1.197058824,,,,,,
12/31/2019,1.37,,1.35,,1.33,,1.33,,1.34,,1.4,,1.42,,1.38,,1.3
9/30/2019,1.08,,1.18,,1.18,,1.18,,1.15,,1.17,,1.16,,1.14,,1.11
6/28/2019,1.016496425,,1.18,,1.21,,1.2,,1.19,,1.1,,,,,,
3/29/2019,0.594412036,,1.1,,1.09,,1.08,,0.97,,,,,,,,
12/31/2018,0.636328764,,1.27,,1.28,,1.31,,1.32,,1.31,,1.06,,0.97,,
9/28/2018,0.863741162,,1.05,,1.03,,1,,0.98,,0.93,,,,,,
6/29/2018,0.852864818,,1.11,,1.07,,1,,1.01,,,,,,,,
3/29/2018,0.834777451,,0.84,,0.79,,0.65,,,,,,,,,,
12/29/2017,-0.866199217,,0.99,,0.95,,0.93,,0.91,,0.84,,0.8,,,,
9/29/2017,0.828535993,,0.8,,0.84,,0.82,,0.8,,,,,,,,
6/30/2017,0.323156266,,0.88,,0.85,,,,,,,,,,,,
3/31/2017,0.373461509,,0.5,,0.56,,0.59,,,,,,,,,,
12/30/2016,0.65194411,,0.82,,0.85,,0.86,,0.81,,0.92,,0.94,,,,
9/30/2016,0.634603275,,0.66,,0.69,,0.68,,0.77,,0.76,,0.75,,0.77,0.73,
6/30/2016,0.821051241,,0.72,,0.73,,0.72,,0.76,,0.85,,0.84,,0.8,,
3/31/2016,0.311210572,,0.44,,0.56,,0.55,,0.56,,0.68,,,,,,
12/31/2015,0.555848795,,0.68,,0.72,,0.8,,0.79,,0.82,,0.83,,0.87,,
9/30/2015,0.423665438,,0.6,,0.61,,0.67,,0.73,,,,,,,,
6/30/2015,0.642362396,,0.59,,0.66,,0.74,,0.8,,,,,,,,
3/31/2015,0.255805966,,0.52,,0.55,,0.58,,0.64,,0.79,,,,,,
12/31/2014,0.865055841,,0.71,,0.79,,0.81,,0.82,,0.55,,,,,,
9/30/2014,0.510930553,,0.55,,0.58,,0.62,,0.71,,0.72,,0.78,,0.61,,
6/30/2014,0.596198202,,0.62,,0.63,,0.73,,0.79,,0.59,,,,,,
3/31/2014,0.372863333,,0.59,,0.63,,0.58,,,,,,,,,,
12/31/2013,0.677861659,,0.58,,0.61,,0.69,,,,,,,,,,
9/30/2013,0.519929613,,0.69,,0.7,,0.69,,,,,,,,,,
