Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
12/31/2020,0.85,3/8/2020,0.85,,1.12,,1.27,,,,,,,,,,,,
9/30/2020,0.85,,0.85,,1.08,,1.21,,,,,,,,,,,,
6/30/2020,0.79,,0.79,,1,,1.26,,,,,,,,,,,,
3/31/2020,0.83,,0.83,,1.02,,1.26,,,,,,,,,,,,
12/31/2019,0.79,,0.79,,1,,1.19,,1.12,,1.46,,,,,,,,
9/30/2019,0.73,,0.73,,0.97,,1.15,,1.05,,1.45,,,,,,,,
6/28/2019,1.03,,1.03,,1.08,,0.94,,1.35,,,,,,,,,,
3/29/2019,1.598757975,,0.9,,0.95,,1.31,,,,,,,,,,,,
12/31/2018,1.611310225,,1.01,,1.1,,1.27,,0.73,,,,,,,,,,
9/28/2018,1.58694425,,1.18,,1.17,,0.67,,,,,,,,,,,,
6/29/2018,1.388457348,,1.08,,0.66,,,,,,,,,,,,,,
3/29/2018,0.748448739,,0.73,,0.67,,,,,,,,,,,,,,
12/29/2017,1.317726467,,0.45,,0.36,,0.22,,0.45,,0.35,,,,,,,,
9/29/2017,0.345582022,,0.08,,0.26,,0.17,,0.39,,0.29,,,,,,,,
6/30/2017,-2.781301568,,-0.02,,0.13,,0.11,,-0.03,,0.18,,0.16,,-0.01,,,,
3/31/2017,0.469279792,,0.01,,-0.13,,0.09,,0.06,,,,,,,,,,
12/30/2016,-0.028082292,,-0.42,,-0.44,,-0.33,,-0.27,,-0.23,,0.15,,0.38,,0.62,,
9/30/2016,-0.834697073,,-0.7,,-0.49,,-0.46,,-0.48,,0,,0.24,,0.53,,-0.61,,
6/30/2016,-0.860315594,,-0.61,,-0.66,,-0.69,,-0.1,,0.16,,0.45,,-1.05,,,,
3/31/2016,-1.180339671,,-1.05,,-0.85,,-0.19,,0.08,,0.36,,-0.65,,,,,,
12/31/2015,-2.777498239,,-0.65,,-0.37,,-0.27,,0.1,,0.51,,0.5,,1.49,,1.5,,1.71
9/30/2015,-0.862232062,,-0.38,,-0.04,,0.3,,0.28,,1.35,,1.43,,1.63,,,,
6/30/2015,-0.144235495,,0.04,,0.1,,0.09,,1.26,,1.34,,1.63,,,,,,
3/31/2015,0.218380755,,-0.19,,0.05,,1.18,,1.3,,1.69,,1.67,,,,,,
12/31/2014,1.730712748,,0.59,,1.04,,1.14,,1.65,,1.59,,1.61,,1.45,,,,
9/30/2014,2.167646276,,1.2,,1.45,,1.56,,1.58,,1.6,,,,,,,,
6/30/2014,1.671277873,,1.6,,1.54,,1.52,,1.56,,1.57,,,,,,,,
3/31/2014,1.708422289,,1.45,,1.58,,1.64,,1.32,,,,,,,,,,
12/31/2013,2.003848162,,1.54,,1.51,,1.61,,1.47,,,,,,,,,,
9/30/2013,1.999411464,,1.45,,1.3,,1.28,,,,,,,,,,,,
6/28/2013,1.657024937,,1.29,,1.27,,1.28,,1.34,,1.42,,,,,,,,
3/28/2013,1.730712748,,1.41,,1.45,,1.41,,,,,,,,,,,,
12/31/2012,1.158036211,,1.42,,1.45,,1.19,,,,,,,,,,,,
9/28/2012,1.462569844,,1.19,,,,,,,,,,,,,,,,
6/29/2012,1.801796074,,1.17,,,,,,,,,,,,,,,,
3/30/2012,2.271279031,,nan,,,,,,,,,,,,,,,,
12/30/2011,2.443947805,,nan,,,,,,,,,,,,,,,,
9/30/2011,1.910099725,,nan,,,,,,,,,,,,,,,,
6/30/2011,2.409097636,,nan,,,,,,,,,,,,,,,,
3/31/2011,2.094810225,,nan,,,,,,,,,,,,,,,,
12/31/2010,1.368818437,,nan,,,,,,,,,,,,,,,,
9/30/2010,2.046106036,,nan,,,,,,,,,,,,,,,,
6/30/2010,2.77367566,,nan,,,,,,,,,,,,,,,,
3/31/2010,1.395350384,,nan,,,,,,,,,,,,,,,,
12/31/2009,0.86,,nan,,,,,,,,,,,,,,,,
9/30/2009,0.97,,nan,,,,,,,,,,,,,,,,
6/30/2009,0.57,,nan,,,,,,,,,,,,,,,,
3/31/2009,0.54,,nan,,,,,,,,,,,,,,,,
12/31/2008,-21.37,,nan,,,,,,,,,,,,,,,,
9/30/2008,3.39,,nan,,,,,,,,,,,,,,,,
6/30/2008,3.5,,nan,,,,,,,,,,,,,,,,
3/31/2008,2.62,,nan,,,,,,,,,,,,,,,,
12/31/2007,2.71,,nan,,,,,,,,,,,,,,,,
9/28/2007,2.23,,nan,,,,,,,,,,,,,,,,
6/29/2007,0.18,,nan,,,,,,,,,,,,,,,,
3/30/2007,2.12,,nan,,,,,,,,,,,,,,,,
12/29/2006,1.91,,nan,,,,,,,,,,,,,,,,
9/29/2006,2.31,,nan,,,,,,,,,,,,,,,,
6/30/2006,3.09,,nan,,,,,,,,,,,,,,,,
3/31/2006,2.34,,nan,,,,,,,,,,,,,,,,
12/30/2005,2.61,,nan,,,,,,,,,,,,,,,,
9/30/2005,2.68,,nan,,,,,,,,,,,,,,,,
6/30/2005,2.21,,nan,,,,,,,,,,,,,,,,
3/31/2005,2.05,,nan,,,,,,,,,,,,,,,,
12/31/2004,1.72,,nan,,,,,,,,,,,,,,,,
9/30/2004,1.43,,nan,,,,,,,,,,,,,,,,
6/30/2004,1.485,,nan,,,,,,,,,,,,,,,,
3/31/2004,1.165,,nan,,,,,,,,,,,,,,,,
12/31/2003,0.74,,nan,,,,,,,,,,,,,,,,
9/30/2003,0.95,,nan,,,,,,,,,,,,,,,,
6/30/2003,0.865,,nan,,,,,,,,,,,,,,,,
3/31/2003,0.895,,nan,,,,,,,,,,,,,,,,
12/31/2002,-0.315,,nan,,,,,,,,,,,,,,,,
9/30/2002,-0.12,,nan,,,,,,,,,,,,,,,,
6/28/2002,0.455,,nan,,,,,,,,,,,,,,,,
3/28/2002,-0.135,,nan,,,,,,,,,,,,,,,,
12/31/2001,0.21,,nan,,,,,,,,,,,,,,,,
9/28/2001,0.67,,nan,,,,,,,,,,,,,,,,
6/29/2001,1.2,,nan,,,,,,,,,,,,,,,,
