Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,
12/31/2020,0.55,2/5/2020,0.53,1/12/2020,0.6,9/18/2019,0.57,,0.57,,0.59,0.605120482,,,,,
9/30/2020,0.52,,0.5,,0.53,,0.51,,0.51,,0.5,0.51,0.543373494,,,,
6/30/2020,0.49,,0.47,,0.53,,0.49,,0.49,,0.48,0.493975904,,,,,
3/31/2020,0.36,,0.35,,0.4,,0.37,,0.37,,0.38,0.39,0.382831325,,,,
12/31/2019,0.45,,0.44,,0.48,,0.47,,0.47,,0.49,0.44,0.46,0.45,0.46,0.43,0.44
9/30/2019,0.51,,0.42,,0.41,,0.41,,0.42,0.44,0.42,0.44,0.43,0.42,0.39,0.37,
6/28/2019,0.432510714,,0.4,,0.43,,0.45,0.46,0.44,0.39,0.34,,,,,,
3/29/2019,0.415481352,,0.32,,0.31,,0.32,0.35,0.36,0.35,0.33,0.28,,,,,
12/31/2018,0.391490111,,0.38,,0.39,,0.37,0.33,0.32,0.34,,,,,,,
9/28/2018,0.438557359,,0.36,,0.34,,0.31,0.3,0.26,0.25,0.27,,,,,,
6/29/2018,0.446133955,,0.35,,0.29,,0.27,0.24,0.23,0.22,0.24,,,,,,
3/29/2018,0.334527403,,0.23,,0.21,,0.18,0.17,0.18,,,,,,,,
12/29/2017,-0.033012224,,0.32,,0.3,,0.29,0.28,0.3,,,,,,,,
9/29/2017,0.981669283,,0.22,,0.21,,0.2,0.22,0.24,0.25,,,,,,,
6/30/2017,0.171790658,,0.19,,0.21,,0.22,,,,,,,,,,
3/31/2017,0.07831857,,0.12,,0.13,,0.25,,,,,,,,,,
12/30/2016,0.270623735,,0.24,,,,,,,,,,,,,,
9/30/2016,0.208907356,,0.19,,,,,,,,,,,,,,
6/30/2016,0.127168105,,0.16,,,,,,,,,,,,,,
3/31/2016,0.026676713,,0.08,,,,,,,,,,,,,,
12/31/2015,0.159733785,,0.2,,,,,,,,,,,,,,
9/30/2015,0.199927421,,nan,,,,,,,,,,,,,,
6/30/2015,0.136258485,,nan,,,,,,,,,,,,,,
3/31/2015,0.15513118,,nan,,,,,,,,,,,,,,
12/31/2014,0.285984243,,nan,,,,,,,,,,,,,,
9/30/2014,0.301190688,,nan,,,,,,,,,,,,,,
6/30/2014,0.171346484,,nan,,,,,,,,,,,,,,
