Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9
,12/31/2020,0.95,3/14/2020,0.86,3/8/2020,0.86,,0.85,,
,9/30/2020,0.81,,0.64,,0.64,,0.62,,
,6/30/2020,0.89,,0.87,,0.87,,0.8,,
,3/31/2020,0.55,,0.53,,0.53,,,,
,12/31/2019,0.83,,0.77,,0.75,,0.68,,0.76
,9/30/2019,0.9,,0.57,,0.56,,0.6,,0.79
,6/28/2019,0.89333434,,0.72,,0.7,,,,
,3/29/2019,0.479811499,,0.45,,0.44,,0.41,,
,12/31/2018,0.795785698,,0.63,,0.7,,,,
,9/28/2018,0.511709167,,0.5,,0.67,,,,
,6/29/2018,0.679567487,,0.63,,,,,,
,3/29/2018,0.41982464,,0.36,,0.34,,,,
,12/29/2017,0.7701713309999999,,0.53,,0.54,,0.58,,
,9/29/2017,0.487638946,,0.49,,0.57,,,,
,6/30/2017,0.505150039,,0.5,,0.52,,,,
,3/31/2017,0.276632174,,0.31,,0.36,,,,
,12/29/2016,0.486087217,,0.52,,,,,,
,9/30/2016,0.508415619,,0.54,,,,,,
,6/30/2016,0.466749091,,0.46,,,,,,
,3/31/2016,0.339807281,,0.35,,,,,,
,12/31/2015,0.511151998,,0.45,,,,,,
,9/30/2015,0.488355495,,0.47,,,,,,
,6/30/2015,0.436917644,,0.44,,,,,,
,3/31/2015,0.322791712,,0.28,,,,,,
,12/31/2014,0.449800407,,0.41,,,,,,
,9/30/2014,0.459093651,,0.42,,,,,,
,6/30/2014,0.429403366,,0.39,,,,,,
,3/31/2014,0.269246743,,0.25,,,,,,
,12/31/2013,0.37201829700000005,,0.36,,,,,,
,9/30/2013,0.401113679,,0.38,,,,,,
,6/28/2013,0.347018462,,0.34,,,,,,
,3/28/2013,0.23211023100000003,,0.22,,,,,,
,12/31/2012,0.333446124,,,,,,,,
,9/28/2012,0.371380345,,,,,,,,
,6/29/2012,0.33281798,,,,,,,,
,3/30/2012,0.205935455,,,,,,,,
,12/30/2011,0.279221023,,,,,,,,
,9/30/2011,0.35164094100000004,,,,,,,,
,6/30/2011,0.277829365,,,,,,,,
,3/31/2011,0.166530794,,,,,,,,
,12/31/2010,0.255801845,,,,,,,,
,9/30/2010,0.319753864,,,,,,,,
,6/30/2010,0.184968331,,,,,,,,
,3/31/2010,0.089508329,,,,,,,,
,12/31/2009,0.145936799,,,,,,,,
,9/30/2009,0.106624839,,,,,,,,
,6/30/2009,-0.24083672,,,,,,,,
,3/31/2009,-0.06036765,,,,,,,,
,12/31/2008,-0.101051925,,,,,,,,
,9/30/2008,0.11951509699999999,,,,,,,,
,6/30/2008,0.18889714100000002,,,,,,,,
,3/31/2008,0.176985245,,,,,,,,
,12/31/2007,0.228153186,,,,,,,,
,9/28/2007,0.284450531,,,,,,,,
,6/29/2007,0.21311354,,,,,,,,
,3/30/2007,0.12534715800000001,,,,,,,,
,12/29/2006,0.172445015,,,,,,,,
,9/29/2006,0.17095881899999998,,,,,,,,
,6/30/2006,0.122499606,,,,,,,,
,3/31/2006,0.067433495,,,,,,,,
,12/30/2005,0.000434955,,,,,,,,
,9/30/2005,0.0761347,,,,,,,,
,6/30/2005,0.062036413,,,,,,,,
,3/31/2005,0.037378756,,,,,,,,
,12/31/2004,0.082030786,,,,,,,,
,9/30/2004,0.111719215,,,,,,,,
,6/30/2004,0.089435084,,,,,,,,
,3/31/2004,0.045669664000000006,,,,,,,,
,12/31/2003,0.028844633999999997,,,,,,,,
,9/30/2003,0.086091146,,,,,,,,
,6/30/2003,0.056090833,,,,,,,,
,3/31/2003,0.063202247,,,,,,,,
,12/31/2002,0.115251509,,,,,,,,
,9/30/2002,0.088991085,,,,,,,,
,6/28/2002,0.011154512,,,,,,,,
,3/28/2002,-0.08553623099999999,,,,,,,,
,12/31/2001,0.05795997,,,,,,,,
,9/28/2001,0.082340195,,,,,,,,
,6/29/2001,0.056093462000000004,,,,,,,,
,3/30/2001,0.09947455,,,,,,,,
,12/29/2000,0.229830003,,,,,,,,
,9/29/2000,0.39707302,,,,,,,,
,6/30/2000,0.322468305,,,,,,,,
,3/31/2000,0.274086579,,,,,,,,
,12/31/1999,0.308957582,,,,,,,,
,9/30/1999,0.24940913,,,,,,,,
,6/30/1999,0.19375726399999998,,,,,,,,
,3/31/1999,0.18342876100000002,,,,,,,,
,12/31/1998,0.209025037,,,,,,,,
,9/30/1998,0.131083333,,,,,,,,
,6/30/1998,0.170995943,,,,,,,,
