CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Y,,12/31/2021,0.56,8/15/2020,0.56,8/12/2020,,,,,,,,,,,,,,,,,
,,9/30/2021,0.29,,0.29,,,,,,,,,,,,,,,,,,
,,6/30/2021,0.56,,0.56,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.31,,0.31,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.49,,0.49,,,,,,,,,,,,,,,,,,
,,9/30/2020,0.26,,0.26,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.49,,0.49,,,,,,,,,,,,,,,,,,
,5/7/2020,3/31/2020,0.21,,0.21,,,,,,,,,,,,,,,,,,
,2/27/2020,12/31/2019,0.47,,0.47,,,,,,,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.23,,0.23,,,,,,,,,,,,,,,,,,
,8/8/2019,6/28/2019,0.49,,0.49,,,,,,,,,,,,,,,,,,
,5/9/2019,3/29/2019,0.17,,0.17,,,,,,,,,,,,,,,,,,
,2/28/2019,12/31/2018,0.32,,0.32,,,,,,,,,,,,,,,,,,
,11/8/2018,9/28/2018,0.21,,0.21,,,,,,,,,,,,,,,,,,
,8/9/2018,6/29/2018,0.42,,0.42,,,,,,,,,,,,,,,,,,
,5/10/2018,3/29/2018,0.16,,0.16,,,,,,,,,,,,,,,,,,
,2/26/2018,12/29/2017,0.34,,0.34,,,,,,,,,,,,,,,,,,
,11/9/2017,9/29/2017,0.09,,0.09,,,,,,,,,,,,,,,,,,
,8/8/2017,6/30/2017,0.16,,0.16,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.1,,0.1,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.26,,0.26,,,,,,,,,,,,,,,,,,
,,9/30/2016,-0.05,,-0.05,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.37,,0.37,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.27,,0.27,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.43,,0.43,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.19,,0.19,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.42,,0.42,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.29,,0.29,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.09,,0.09,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.34,,0.34,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.12,,0.12,,,,,,,,,,,,,,,,,,
,,12/30/2013,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,6/30/2013,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,3/31/2013,0.22,,0.22,,,,,,,,,,,,,,,,,,
,,12/30/2012,0.19,,1.9,,,,,,,,,,,,,,,,,,
,,9/30/2012,0.19,,0.19,,,,,,,,,,,,,,,,,,
,,6/30/2012,0.19,,0.19,,,,,,,,,,,,,,,,,,
,,3/31/2012,0.19,,0.19,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.18,,0.18,,,,,,,,,,,,,,,,,,
