CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,
Plots Adjusted,,4/30/2028,,2.33,7/12/2026,1.47,4/17/2026,1.28,3/9/2026,1,1/15/2026,,,,,,,,,,
,,1/30/2028,,2.25,,1.34,,1.22,,0.94,,,,,,,,,,,
,,10/30/2027,,2.16,,1.21,,1.15,,0.89,,,,,,,,,,,
,,7/30/2027,,2.08,,1.13,,1.08,,0.84,,,,,,,,,,,
,,4/30/2027,,2.08,4/17/2026,1.47,4/17/2026,1.28,3/9/2026,1,1/15/2026,,,,,,,,,,
,,1/30/2027,,1.62,,1.34,,1.22,,0.94,,,,,,,,,,,
,,10/30/2026,,1.24,,1.21,,1.15,,0.89,,,,,,,,,,,
,,7/30/2026,,1.16,,1.13,,1.08,,0.84,,,,,,,,,,,
,6/1/2026,4/30/2026,0.88,1.16,5/20/2025,1.03,5/20/2025,1.03,5/20/2025,0.81,5/20/2025,,,,,,,,,,
,3/3/2026,1/30/2026,0.82,1.07,,0.78,,0.79,,0.51,,,,,,,,,,,
,12/1/2025,10/30/2025,0.44,0.67,,0.49,,0.47,,0.37,,,,,,,,,,,
,9/3/2025,7/30/2025,0.34,0.52,,0.36,,0.36,,0.28,,,,,,,,,,,
,6/2/2025,4/30/2025,0.2,0.35,,0.28,,0.28,,0.27,,,,,,,,,,,
,3/4/2025,1/30/2025,0.16,0.25,,0.18,,0.18,,0.18,,,,,,,,,,,
,12/2/2024,10/30/2024,-0.03,0.07,,0.07,,,,,,,,,,,,,,,
,9/4/2024,7/30/2024,-0.06,0.04,,0.04,,,,,,,,,,,,,,,
,5/29/2024,4/30/2024,-0.06,0.07,,0.07,,,,,,,,,,,,,,,
,2/27/2024,1/30/2024,0.01,0.04,,0.04,,,,,,,,,,,,,,,
,11/29/2023,10/30/2023,-0.04,0.01,,0.01,,,,,,,,,,,,,,,
,8/24/2023,7/30/2023,-0.08,-0.03,,-0.03,,,,,,,,,,,,,,,
,5/31/2023,4/30/2023,-0.11,-0.04,,-0.04,,,,,,,,,,,,,,,
,3/1/2023,1/30/2023,0.02,0.05,,0.05,,,,,,,,,,,,,,,
,11/30/2022,10/30/2022,-0.02,0.02,,0.02,,,,,,,,,,,,,,,
,8/31/2022,7/30/2022,-0.01,0.03,,0.03,,,,,,,,,,,,,,,
,6/1/2022,4/30/2022,-0.04,0.02,,0.02,,,,,,,,,,,,,,,
,3/9/2022,1/29/2022,0.01,0.03,,0.03,,,,,,,,,,,,,,,
,,10/30/2021,-0.06,-0.06,,-0.06,,,,,,,,,,,,,,,
,,7/31/2021,-0.18,-0.18,,-0.18,,,,,,,,,,,,,,,
