CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Diluted_Adjusted,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,
N,,3/31/2022,0.86,5/23/2021,0.82,4/22/2021,0.82,3/20/2021,0.82,2/21/2021,0.82,1/21/2021,0.82,12/14/2020,0.82,11/15/2020,0.83,10/15/2020,0.83,0.85,,9/1/2020,0.81,7/30/2020
,,12/31/2021,0.82,,0.79,,0.79,,0.79,,0.78,,0.78,,0.78,,0.79,,0.79,0.81,,,0.77,
,,9/30/2021,0.77,,0.74,,0.74,,0.74,,0.74,,0.73,,0.73,,0.74,,0.74,0.77,,,0.73,
,,6/30/2021,0.68,,0.68,,0.68,,0.68,,0.7,,0.68,,0.68,,0.69,,0.69,0.73,,,0.69,
,4/22/2021,3/31/2021,0.53,,0.69,,0.69,,0.64,,0.63,,0.63,,0.64,,0.64,0.69,,,0.61,,,
,1/21/2021,12/31/2020,0.6,,0.59,,0.59,,0.6,,0.6,0.61,,,0.53,,,,,,,,,
,10/15/2020,9/30/2020,0.56,,0.53,,0.73,,0.29,,,,,,,,,,,,,,,
,7/16/2020,6/30/2020,0.29,,0.57,,0.5,,,,,,,,,,,,,,,,,
,4/23/2020,3/31/2020,0.57,,0.6,,0.82,,,,,,,,,,,,,,,,,
,1/16/2020,12/31/2019,0.6,,0.56,,0.8,,,,,,,,,,,,,,,,,
,10/17/2019,9/30/2019,0.56,,0.53,,0.79,,,,,,,,,,,,,,,,,
,7/18/2019,6/28/2019,0.53,,0.57,,0.72,,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,0.57,,0.55,,0.73,,,,,,,,,,,,,,,,,
,1/17/2019,12/31/2018,0.55,,0.48,,0.73,,,,,,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.48,,0.42,,0.65,,,,,,,,,,,,,,,,,
,7/19/2018,6/29/2018,0.42,,0.47,,0.59,,,,,,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.47,,0.51,,0.63,,,,,,,,,,,,,,,,,
,1/18/2018,12/29/2017,0.51,,0.36,,0.66,,,,,,,,,,,,,,,,,
,10/27/2017,9/29/2017,0.36,,0.32,,0.53,,,,,,,,,,,,,,,,,
,7/20/2017,6/30/2017,0.32,,-0.1,,0.45,,,,,,,,,,,,,,,,,
,,3/31/2017,-0.1,,0.35,,0.46,,,,,,,,,,,,,,,,,
,,12/30/2016,0.35,,0.24,,0.49,,,,,,,,,,,,,,,,,
,,9/30/2016,0.24,,0.23,,0.42,,,,,,,,,,,,,,,,,
,,6/30/2016,0.23,,0.3,,0.45,,,,,,,,,,,,,,,,,
,,3/31/2016,0.3,,0.3,,0.5,,,,,,,,,,,,,,,,,
,,12/31/2015,0.3,,0.29,,0.5,,,,,,,,,,,,,,,,,
,,9/30/2015,0.29,,0.24,,0.51,,,,,,,,,,,,,,,,,
,,6/30/2015,0.24,,0.28,,0.42,,,,,,,,,,,,,,,,,
,,3/31/2015,0.28,,0.31,,0.43,,,,,,,,,,,,,,,,,
,,12/31/2014,0.31,,0.29,,0.47,,,,,,,,,,,,,,,,,
,,9/30/2014,0.29,,0.23,,0.45,,,,,,,,,,,,,,,,,
,,6/30/2014,0.23,,0.25,,0.39,,,,,,,,,,,,,,,,,
,,3/31/2014,0.25,,0.23,,0.4,,,,,,,,,,,,,,,,,
,,12/31/2013,0.23,,0.18,,0.38,,,,,,,,,,,,,,,,,
,,9/30/2013,0.18,,0.13,,0.33,,,,,,,,,,,,,,,,,
,,6/28/2013,0.13,,0.16,,0.28,,,,,,,,,,,,,,,,,
,,3/28/2013,0.16,,0.12,,0.3,,,,,,,,,,,,,,,,,
,,12/31/2012,0.12,,0.08,,0.27,,,,,,,,,,,,,,,,,
,,9/28/2012,0.08,,0.06,,0.24,,,,,,,,,,,,,,,,,
,,6/29/2012,0.06,,0.09,,0.22,,,,,,,,,,,,,,,,,
,,3/30/2012,0.09,,0.09,,0.27,,,,,,,,,,,,,,,,,
,,12/30/2011,0.09,,0.08,,0.27,,,,,,,,,,,,,,,,,
,,9/30/2011,0.08,,0.01,,0.26,,,,,,,,,,,,,,,,,
,,6/30/2011,0.01,,0.11,,0.22,,,,,,,,,,,,,,,,,
,,3/31/2011,0.11,,0.13,,0.32,,,,,,,,,,,,,,,,,
,,12/31/2010,0.13,,0.11,,0.33,,,,,,,,,,,,,,,,,
,,9/30/2010,0.11,,-0.14,,0.31,,,,,,,,,,,,,,,,,
,,6/30/2010,-0.14,,0.03,,0.05,,,,,,,,,,,,,,,,,
,,3/31/2010,0.03,,0.01,,0.3,,,,,,,,,,,,,,,,,
,,12/31/2009,0.01,,0.02,,0.25,,,,,,,,,,,,,,,,,
,,9/30/2009,0.02,,0.02,,0.31,,,,,,,,,,,,,,,,,
,,6/30/2009,0.02,,,,0.29,,,,,,,,,,,,,,,,,
