CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
N,,12/31/2021,0.48,1/31/2021,0.48,12/24/2020,0.48,12/23/2020,,,,,,,,,,,,,,,
,,9/30/2021,0.46,,0.46,,0.46,,,,,,,,,,,,,,,,
,,6/30/2021,0.45,,0.45,,0.45,,,,,,,,,,,,,,,,
,,3/31/2021,0.48,,0.48,,0.48,,,,,,,,,,,,,,,,
,,12/31/2020,0.44,,0.44,,0.44,,,,,,,,,,,,,,,,
,11/2/2020,9/30/2020,0.39,,0.39,,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,0.25,,0.25,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.33,,0.33,,,,,,,,,,,,,,,,,,
,3/18/2020,12/31/2019,0.34,,0.34,,,,,,,,,,,,,,,,,,
,11/12/2019,9/30/2019,0.31,,0.31,,,,,,,,,,,,,,,,,,
,8/13/2019,6/28/2019,0.38,,0.38,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.41,,0.41,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.29,,0.29,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.37,,0.37,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.36,,0.36,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.18,,0.18,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.17,,0.17,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.17,,0.17,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.17,,0.17,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.17,,0.17,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.16,,0.16,,,,,,,,,,,,,,,,,,
