Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
12/31/2020,1.29,3/16/2020,1.42,3/8/2020,1.42,,1.43,,1.39,,1.402781775,,
9/30/2020,1.1,,1.21,,1.21,,1.19,,1.249352518,,,,
6/30/2020,0.97,,1.08,,1.08,,1.1,,1.07,,1.074004796,,
3/31/2020,0.8,,0.94,,0.94,,0.9,,0.832901679,,,,
12/31/2019,1.01,,1.25,,1.3,,1.28,,1.25,,1.14,,
9/30/2019,1.024049246,,1.08,,1.1,,1.14,,1.1,,,,
6/28/2019,0.763654419,,0.93,,0.92,,0.98,,1.05,,1.01,,
3/29/2019,0.795203239,,0.77,,0.76,,0.77,,0.85,,0.83,,
12/31/2018,0.966999431,,1.22,,1.23,,1.03,,0.86,,,,
9/28/2018,0.863513933,,1,,1.02,,0.85,,,,,,
6/29/2018,0.708886459,,0.9,,0.89,,0.81,,,,,,
3/29/2018,0.648136549,,0.76,,0.7,,,,,,,,
12/29/2017,1.414611204,,0.78,,0.79,,0.77,,0.85,,0.84,,
9/29/2017,0.719722456,,0.8,,0.83,,0.82,,0.89,,0.92,,
6/30/2017,0.625432254,,0.73,,0.74,,0.8,,0.76,,,,
3/31/2017,0.523966432,,0.63,,0.66,,0.67,,,,,,
12/30/2016,0.649497745,,0.8,,0.81,,0.77,,0.81,,0.82,,0.84
9/30/2016,0.695173056,,0.81,,0.82,,0.79,,0.83,,0.84,,0.86
6/30/2016,0.548540922,,0.68,,0.71,,0.74,,0.73,,0.75,,
3/31/2016,0.502099207,,0.6,,0.64,,,,,,,,
12/31/2015,0.554895989,,0.75,,0.76,,0.79,,0.69,,0.66,,
9/30/2015,0.590355901,,0.78,,0.7,,0.69,,,,,,
6/30/2015,0.465519866,,0.65,,0.67,,0.66,,,,,,
3/31/2015,0.398225628,,0.59,,0.58,,0.6,,0.58,,,,
12/31/2014,0.443831037,,0.56,,0.58,,0.62,,0.56,,0.64,,
9/30/2014,0.58605996,,0.59,,0.64,,0.58,,0.58,,,,
6/30/2014,0.497858779,,0.58,,0.55,,0.52,,,,,,
3/31/2014,0.479163584,,0.52,,0.4,,,,,,,,
12/31/2013,0.383334157,,0.4,,0.52,,,,,,,,
9/30/2013,0.551996033,,0.52,,0.51,,,,,,,,
6/28/2013,0.516653331,,0.52,,0.51,,0.46,,,,,,
3/28/2013,0.508779874,,0.46,,0.47,,,,,,,,
12/31/2012,0.468207212,,0.47,,0.47,,,,,,,,
9/28/2012,0.484218513,,0.47,,,,,,,,,,
6/29/2012,0.518051174,,nan,,,,,,,,,,
3/30/2012,0.445025396,,nan,,,,,,,,,,
12/30/2011,0.443074764,,nan,,,,,,,,,,
9/30/2011,0.46998993,,nan,,,,,,,,,,
6/30/2011,0.451604777,,nan,,,,,,,,,,
3/31/2011,0.390596562,,nan,,,,,,,,,,
12/31/2010,0.362361399,,nan,,,,,,,,,,
9/30/2010,0.376617422,,nan,,,,,,,,,,
6/30/2010,0.367998774,,nan,,,,,,,,,,
3/31/2010,0.277891715,,nan,,,,,,,,,,
12/31/2009,0.388902853,,nan,,,,,,,,,,
9/30/2009,0.322898258,,nan,,,,,,,,,,
6/30/2009,0.329026098,,nan,,,,,,,,,,
3/31/2009,0.377729258,,nan,,,,,,,,,,
12/31/2008,0.4,,nan,,,,,,,,,,
9/30/2008,0.45,,nan,,,,,,,,,,
6/30/2008,0.52,,nan,,,,,,,,,,
3/31/2008,0.51,,nan,,,,,,,,,,
12/31/2007,0.64,,nan,,,,,,,,,,
9/28/2007,0.74,,nan,,,,,,,,,,
6/29/2007,0.75,,nan,,,,,,,,,,
3/30/2007,0.6,,nan,,,,,,,,,,
12/29/2006,0.65,,nan,,,,,,,,,,
