Date,Q_EPS_Diluted,,,,,,,,,,,,
6/30/2020,3.36,3.36,3.36,3.41,3.39,3.49,3.51,3.49,3.51,3.1075,,,
3/31/2020,3.14,3.22,3.22,3.28,3.29,3.24,3.23,3.1075,,,,,
12/31/2019,2.66,2.67,2.67,2.72,2.74,2.79,2.8,2.78,2.72,3.1075,,,
9/30/2019,2.67,2.74,2.74,2.8,2.84,2.9,2.92,2.89,2.88,3.1075,,,
6/28/2019,3.170835634,3.11,3.14,3.29,3.31,3.3,3.33,3.32,3.41,3.31,3.3,3.33,3.16
3/29/2019,3.142056772,3.02,2.99,3,3.01,3.08,3.03,3.01,3.1,2.98,,,
12/31/2018,2.356089102,2.42,2.43,2.39,2.54,2.49,2.29,2.23,,,,,
9/28/2018,2.789978139,2.53,2.63,2.6,2.64,2.58,2.42,2.32,,,,,
6/29/2018,2.616675234,2.91,2.94,2.89,2.78,2.75,2.63,2.61,2.54,2.46,,,
3/29/2018,2.695688566,2.62,2.61,2.5,2.44,2.4,2.37,2.26,2.22,,,,
12/29/2017,0.412342842,2.07,2.05,1.94,1.93,1.91,1.85,1.84,1.72,1.59,,,
9/29/2017,2.101686618,2.04,2.07,2.03,1.97,1.93,1.79,1.76,2.31,,,,
6/30/2017,2.154203356,2.31,2.28,2.21,2.08,2.05,1.79,1.86,,,,,
3/31/2017,1.753620755,1.86,1.8,1.79,1.71,,,,,,,,
12/30/2016,1.776747634,1.39,1.57,1.44,1.45,,,,,,,,
9/30/2016,1.54704938,1.57,1.64,1.63,,,,,,,,,
6/30/2016,1.774571695,1.77,1.76,1.62,1.77,1.98,2.05,2.19,2.26,,,,
3/31/2016,1.370049113,1.44,1.41,1.64,1.83,1.88,2,2.05,1.45,,,,
12/31/2015,1.334997288,1.18,1.19,1.46,1.51,1.69,1.72,1.7,1.74,1.79,1.84,1.46,
9/30/2015,1.407022403,1.46,1.47,1.52,1.8,1.91,1.99,2.09,2.1,2.13,,,
6/30/2015,1.272714919,1.87,1.89,2.3,2.36,2.35,2.38,2.41,2.34,2.38,2.49,2.5,
3/31/2015,2.021001459,1.99,2.02,2.03,2.08,2.11,2.08,2.13,2.14,1.58,,,
12/31/2014,1.803529434,1.55,1.56,1.58,1.66,1.6,1.64,1.65,1.73,1.76,1.67,,
9/30/2014,1.853989943,1.67,1.87,1.88,1.9,1.88,1.89,1.91,1.9,1.93,2.07,,
6/30/2014,1.983073593,2.07,2.08,2.01,2.02,1.95,1.99,2.01,2.17,1.61,,,
3/31/2014,1.597512929,1.62,1.63,1.64,1.79,1.8,1.88,1.25,,,,,
12/31/2013,1.664714396,1.23,1.28,1.31,1.54,1.47,,,,,,,
9/30/2013,1.608821152,1.48,1.49,1.77,1.8,1.97,,,,,,,
