Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,12/31/2020,1.65,3/17/2020,1.81,3/8/2020,1.81,,1.78,,,,,,,,
,9/30/2020,1.32,,1.36,,1.36,,1.27,,,,,,,,
,6/30/2020,1.4,,1.37,,1.37,,1.25,,,,,,,,
,3/31/2020,0.79,,0.84,,0.84,,0.76,,,,,,,,
2/19/2020,12/31/2019,1.31,,1.54,,1.58,,1.48,,1.63,,,,,,
10/28/2019,9/30/2019,1.04,,1.09,,1.12,,1.15,,1.27,,,,,,
7/29/2019,6/28/2019,1.06,,1.07,,1.08,,1.1,,1.03,,,,,,
4/29/2019,3/29/2019,0.615625,,0.46,,0.63,,0.58,,,,,,,,
2/25/2019,12/31/2018,1.336448598,,1.38,,1.45,,1.3,,1.24,,1.25,,1.16,,
10/31/2018,9/28/2018,0.822429907,,1.11,,1.15,,1.02,,1.03,,0.95,,,,
7/25/2018,6/29/2018,1.046728972,,1.05,,0.99,,0.81,,0.79,,0.78,,0.77,,0.92
5/1/2018,3/29/2018,0.037037037,,0.36,,0.59,,0.56,,0.55,,0.54,,0.56,,
2/26/2018,12/29/2017,0.600619195,,1.08,,1.06,,1.07,,0.96,,0.98,,0.87,,
10/23/2017,9/29/2017,0.79876161,,0.78,,0.87,,0.78,,0.8,,0.86,,,,
7/31/2017,6/30/2017,0.554179567,,0.51,,0.77,,0.78,,0.76,,,,,,
4/25/2017,3/31/2017,0.572368421,,0.53,,0.51,,0.39,,,,,,,,
,12/30/2016,0.772575251,,0.67,,,,,,,,,,,,
,9/30/2016,0.691275168,,0.57,,,,,,,,,,,,
,6/30/2016,0.630872483,,0.56,,0.29,,,,,,,,,,
,3/31/2016,0.17114094,,0.28,,,,,,,,,,,,
,12/31/2015,0.701342282,,0.62,,,,,,,,,,,,
,9/30/2015,0.422818792,,0.37,,,,,,,,,,,,
,6/30/2015,0.483221477,,0.43,,,,,,,,,,,,
,3/31/2015,0.268456376,,0.17,,,,,,,,,,,,
,12/31/2014,0.508361204,,0.57,,,,,,,,,,,,
,9/30/2014,0.3,,0.3,,,,,,,,,,,,
,6/30/2014,0.38,,0.35,,,,,,,,,,,,
,3/31/2014,-0.16,,0.03,,,,,,,,,,,,
,12/31/2013,0.46,,0.57,,,,,,,,,,,,
,9/30/2013,0.23,,0.25,,,,,,,,,,,,
,6/28/2013,0.29,,0.27,,,,,,,,,,,,
,3/28/2013,0.14,,0.19,,,,,,,,,,,,
,12/31/2012,0.63,,,,,,,,,,,,,,
,9/28/2012,0.2,,,,,,,,,,,,,,
,6/29/2012,0.26,,,,,,,,,,,,,,
,3/30/2012,0.13,,,,,,,,,,,,,,
,12/30/2011,0.25,,,,,,,,,,,,,,
,9/30/2011,0.27,,,,,,,,,,,,,,
,6/30/2011,0.35,,,,,,,,,,,,,,
,3/31/2011,0.17,,,,,,,,,,,,,,
,12/31/2010,0.54,,,,,,,,,,,,,,
,9/30/2010,0.32,,,,,,,,,,,,,,
,6/30/2010,0.28,,,,,,,,,,,,,,
,3/31/2010,0.14,,,,,,,,,,,,,,
,12/31/2009,0.37,,,,,,,,,,,,,,
,9/30/2009,0.29,,,,,,,,,,,,,,
,6/30/2009,0.34,,,,,,,,,,,,,,
,3/31/2009,0.15,,,,,,,,,,,,,,
,12/31/2008,0.36,,,,,,,,,,,,,,
,9/30/2008,0.31,,,,,,,,,,,,,,
,6/30/2008,0.47,,,,,,,,,,,,,,
