Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,
12/31/2020,36.13,10/23/2020,36.18,10/22/2020,36.18,,42.02877698,,42.77,53.42197183,,,,,,,,,,
9/30/2020,31.65,,28.57,,28.57,,33.42446043,,28.59,30.17915493,,,,,,,,,,
6/30/2020,27.51,,20.43,,20.43,,25.02158273,,19.27,24.28394366,,,,,,,,,,
3/31/2020,27.28,,22.91,,22.91,,23.52517986,,20.47,21.17408451,,,,,,,,,,
12/31/2019,24.85,,24.9,,24.9,,28.14,,29.21,33.31,39.51,37.8,,,,,,,,
9/30/2019,13.85672803,,23.02,,23.23,,21.94,22.32,27.21,,,,,,,,,,,
6/28/2019,11.06259451,,22.62,,17.75,,17.96,16.63,,,,,,,,,,,,
3/29/2019,10.58567654,,16.55,,15.66,,17.83,,,,,,,,,,,,,
12/31/2018,18.26785369,,23.46,,25.01,,15.32,,,,,,,,,,,,,
9/28/2018,15.25178618,,17.66,,17.19,,0.3,,,,,,,,,,,,,
6/29/2018,101.245984,,15.36,,17.15,,0.28,,,,,,,,,,,,,
3/29/2018,7.099394043,,10.47,,15.82,,0.21,,,,,,,,,,,,,
12/29/2017,10.60566597,,11.97,,14.87,,14.79,13.02,13.37,0.16,,,,,,,,,,
9/29/2017,2.719201741,,9.21,,14.61,,14.56,14.36,12.63,0.21,,,,,,,,,,
6/30/2017,10.64729374,,12.22,,12.73,,12.47,12.85,10.64,0.16,,,,,,,,,,
3/31/2017,2.54218539,,9.23,,9.14,,10.65,12.07,0.17,,,,,,,,,,,
12/30/2016,3.765289409,,11,,12.19,,10.95,13.16,,,,,,,,,,,,
9/30/2016,7.474938235,,10.08,,10.21,,9.57,13.29,,,,,,,,,,,,
6/30/2016,6.296733358,,9.33,,9,,8.35,,,,,,,,,,,,,
3/31/2016,3.309906584,,6.33,,6.49,,7.93,,,,,,,,,,,,,
12/31/2015,8.824516929,,12.49,,11.25,,11.57,12.79,14.85,16.9,,,,,,,,,,
9/30/2015,13.28083915,,10.14,,10.67,,12.43,13.33,14.22,,,,,,,,,,,
6/30/2015,1.307438485,,8.6,,8.87,,10.36,11.32,12.28,,,,,,,,,,,
3/31/2015,6.60803444,,6.18,,7.31,,8.3,9.94,,,,,,,,,,,,
12/31/2014,23.43677072,,12.57,,12.63,,12.85,13.6,13.21,13.3,13.09,13.28,13.32,13.7,13.54,12.86,13.78,11.9,15.84,0.3
9/30/2014,13.48987404,,10.43,,10.13,,10.37,10.33,10.71,10.74,10.78,10.76,10.22,10.99,9.33,12.61,0.28,,,
6/30/2014,7.36706923,,10.12,,10.08,,9.91,9.7,10.3,10.32,10.36,9.37,8.9,10.07,9.01,11.96,0.24,,,
3/31/2014,8.138387769,,7.98,,7.94,,8.25,7.9,6.92,6.8,8.26,7.08,9.7,0.31,,,,,,
12/31/2013,10.08116428,,10.01,,9.93,,9.61,9.52,10.73,9.8,12.2,8.095744681,,,,,,,,
9/30/2013,14.8837511,,7.82,,7.64,,9.33,7.92,,,,,,,,,,,,
6/28/2013,8.698724863,,8.3,,5.94,,,,,,,,,,,,,,,
3/28/2013,6.66984489,,6,,8.91,,,,,,,,,,,,,,,
12/31/2012,8.003891361,,8.65,,6.27,,,,,,,,,,,,,,,
9/28/2012,6.823888177,,6.16,,,,,,,,,,,,,,,,,
6/29/2012,5.9150635,,5.61,,,,,,,,,,,,,,,,,
3/30/2012,3.754821285,,nan,,,,,,,,,,,,,,,,,
12/30/2011,6.339870426,,nan,,,,,,,,,,,,,,,,,
9/30/2011,5.078059196,,nan,,,,,,,,,,,,,,,,,
