CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
N,,1/30/2026,,0.2,11/20/2024,0.2,10/13/2024,0.2,9/6/2024,0.18,8/8/2024,0.18,6/29/2024,0.18,6/28/2024
,,10/31/2025,,0.17,,0.17,,0.17,,0.15,,0.15,,0.15,
,,7/31/2025,,0.16,,0.16,,0.16,,0.14,,0.14,,0.14,
,,4/30/2025,,0.11,,0.11,,0.11,,0.09,,0.09,,0.09,
,,1/31/2025,,0.14,,0.14,,0.14,,0.13,,0.13,,0.13,
,,10/31/2024,,0.16,,0.16,,0.16,,0.11,,0.11,,0.11,
,9/3/2024,7/31/2024,0.08,0.15,,0.1,,0.1,,0.1,,,,,
,6/3/2024,4/30/2024,-0.35,0.03,,0.03,,,,,,,,,
,3/4/2024,1/31/2024,-0.23,0.15,,0.15,,,,,,,,,
,12/4/2023,10/31/2023,-1.84,0.09,,0.09,,,,,,,,,
,9/5/2023,7/31/2023,-0.33,0.01,,0.01,,,,,,,,,
,6/5/2023,4/28/2023,-0.35,-0.06,,-0.06,,,,,,,,,
,3/13/2023,1/31/2023,-0.26,-0.03,,-0.03,,,,,,,,,
,12/5/2022,10/31/2022,-0.33,-0.1,,-0.1,,,,,,,,,
,9/6/2022,7/29/2022,-0.4,-0.15,,-0.15,,,,,,,,,
,6/6/2022,4/29/2022,-0.18,-0.18,,-0.18,,,,,,,,,
,3/14/2022,1/31/2022,-0.32,-0.16,,-0.16,,,,,,,,,
,12/6/2021,10/29/2021,-0.62,-0.34,,-0.34,,,,,,,,,
,,7/30/2021,-0.75,-0.49,,-0.49,,,,,,,,,
,,4/30/2021,-0.53,-0.44,,-0.44,,,,,,,,,
,,1/29/2021,-2.31,-0.46,,-0.46,,,,,,,,,
,,10/30/2020,-0.57,-0.44,,-0.44,,,,,,,,,
