Date,Q_EPS_Diluted,,,,,,,,,,,,,,,,,,,
12/31/2020,1.87,1.86,1.86,1.88,1.745128205,,,,,,,,,,,,,,,
9/30/2020,1.85,1.85,1.85,1.84,1.82,1.755641026,,,,,,,,,,,,,,
6/30/2020,1.73,1.73,1.73,1.776666667,,,,,,,,,,,,,,,,
3/31/2020,1.7,1.67,1.67,1.7,1.69,1.703076923,,,,,,,,,,,,,,
12/31/2019,1.7,1.71,1.71,1.7,1.69,1.67,1.66,1.76,1.77,1.8,1.79,1.73,1.69,1.73,,,,,,
9/30/2019,1.73,1.71,1.71,1.68,1.67,1.75,1.74,1.73,1.72,1.67,1.65,1.69,1.71,,,,,,,
6/28/2019,1.47220047,1.72,1.7,1.69,1.68,1.69,1.72,1.71,1.68,1.64,1.63,1.66,1.67,,,,,,,
3/29/2019,1.539360873,1.61,1.62,1.67,1.65,1.68,1.64,1.59,1.6,1.64,,,,,,,,,,
12/31/2018,0.002309469,1.71,1.7,1.71,1.64,1.6,1.58,1.57,1.59,1.7,1.71,1.76,1.89,1.97,,,,,,
9/28/2018,1.604437643,1.63,1.61,1.55,1.6,1.7,1.75,1.86,1.95,,,,,,,,,,,
6/29/2018,1.389143731,1.56,1.55,1.63,1.72,1.73,1.77,1.87,1.96,,,,,,,,,,,
3/29/2018,1.165151515,1.67,1.64,1.7,1.71,1.78,1.88,1.97,,,,,,,,,,,,
12/29/2017,-2.957153787,1.67,1.68,1.89,1.88,1.89,2.63,2.7,2.88,2.89,3.12,3.13,2.87,3.24,,,,,,
9/29/2017,2.060652009,2.13,2.12,2.01,1.99,1.98,2,1.99,2.61,2.68,2.85,2.86,3.07,3.08,3.12,,,,,
6/30/2017,2.333333333,2.15,2.12,2.11,2.14,2.13,2.61,2.64,2.85,2.87,3.06,3.09,3.13,,,,,,,
3/31/2017,2.046969697,2.28,2.26,2.62,2.63,2.84,2.87,3.02,3.05,3.03,3.05,,,,,,,,,
12/30/2016,2.342125094,2.61,2.62,2.81,2.97,3,3.01,3.03,3.05,3.04,3.03,3.22,3.11,3,2.92,,,,,
9/30/2016,2.486930545,2.86,2.88,3,3.01,3,3.01,3.02,3.06,3.05,3.04,3.1,3.02,2.97,,,,,,
6/30/2016,2.580811808,3.02,3,2.99,3,3.08,3.06,3.05,3.04,2.97,2.89,2.83,3.14,,,,,,,
3/31/2016,2.525495751,3.13,3.1,3.09,2.99,2.92,2.88,2.82,3,,,,,,,,,,,
12/31/2015,3.18138587,3,2.99,2.87,2.84,2.66,2.68,2.55,2.53,2.55,2.54,2.58,2.59,2.55,2.72,2.67,2.66,2.31,2.23,2.89
9/30/2015,3.060545576,2.87,2.64,2.61,2.43,2.42,2.44,2.5,2.56,2.58,2.57,2.68,2.67,2.64,2.3,2.21,,,,
6/30/2015,2.916883117,2.71,2.66,2.63,2.39,2.36,2.47,2.58,2.59,2.72,2.71,2.61,2.6,2.31,2.22,,,,,
3/31/2015,2.761631612,2.32,2.26,2.38,2.53,2.68,2.56,2.29,2.2,1.91,,,,,,,,,,
12/31/2014,2.183295554,2.22,2.19,2.26,2.27,2.25,2.3,2.29,1.94,1.78,1.77,1.14,1.05,0.99,1,0.96,0.93,0.92,1.4,
9/30/2014,1.668942213,1.92,1.62,1.5,1.01,0.94,0.86,0.85,0.84,0.8,0.79,1.56,,,,,,,,
6/30/2014,2.193254086,1.6,1.59,1.01,0.92,0.77,0.75,0.74,0.71,0.75,,,,,,,,,,
3/31/2014,1.325941099,0.91,0.89,0.8,0.64,0.62,0.63,0.64,0.49,,,,,,,,,,,
12/31/2013,0.46712631,0.5,0.47,,,,,,,,,,,,,,,,,
9/30/2013,0.466107295,0.48,0.49,0.48,0.48,,,,,,,,,,,,,,,
6/28/2013,0.45592794,0.5,0.49,0.5,0.49,0.5,0.47,,,,,,,,,,,,,
3/28/2013,0.433729715,0.5,0.49,0.5,0.51,1,1.01,1,1.01,0.46,,,,,,,,,,
12/31/2012,0.465833486,0.48,0.96,0.95,0.96,0.95,0.45,,,,,,,,,,,,,
9/28/2012,0.42629155,0.94,,,,,,,,,,,,,,,,,,
6/29/2012,0.455835061,0.46,,,,,,,,,,,,,,,,,,
3/30/2012,0.284257025,0.46,,,,,,,,,,,,,,,,,,
12/30/2011,0.433983057,nan,,,,,,,,,,,,,,,,,,
9/30/2011,0.474281721,nan,,,,,,,,,,,,,,,,,,
6/30/2011,0.465925949,nan,,,,,,,,,,,,,,,,,,
3/31/2011,0.401019515,nan,,,,,,,,,,,,,,,,,,
12/31/2010,0.381893782,nan,,,,,,,,,,,,,,,,,,
9/30/2010,0.415989557,nan,,,,,,,,,,,,,,,,,,
6/30/2010,0.396138316,nan,,,,,,,,,,,,,,,,,,
3/31/2010,0.460432178,nan,,,,,,,,,,,,,,,,,,
12/31/2009,0.432733169,nan,,,,,,,,,,,,,,,,,,
9/30/2009,0.360905017,nan,,,,,,,,,,,,,,,,,,
6/30/2009,0.305731114,nan,,,,,,,,,,,,,,,,,,
3/31/2009,0.312533224,nan,,,,,,,,,,,,,,,,,,
12/31/2008,0.29629703,nan,,,,,,,,,,,,,,,,,,
9/30/2008,0.262342739,nan,,,,,,,,,,,,,,,,,,
6/30/2008,0.229287029,nan,,,,,,,,,,,,,,,,,,
3/31/2008,0.255,nan,,,,,,,,,,,,,,,,,,
12/31/2007,0.205,nan,,,,,,,,,,,,,,,,,,
9/28/2007,0.21,nan,,,,,,,,,,,,,,,,,,
6/29/2007,0.21,nan,,,,,,,,,,,,,,,,,,
3/30/2007,0.21,nan,,,,,,,,,,,,,,,,,,
12/29/2006,-0.905,nan,,,,,,,,,,,,,,,,,,
9/29/2006,-0.03,nan,,,,,,,,,,,,,,,,,,
6/30/2006,0.14,nan,,,,,,,,,,,,,,,,,,
3/31/2006,0.1375,nan,,,,,,,,,,,,,,,,,,
12/30/2005,0.1475,nan,,,,,,,,,,,,,,,,,,
9/30/2005,0.095,nan,,,,,,,,,,,,,,,,,,
6/30/2005,0.1025,nan,,,,,,,,,,,,,,,,,,
3/31/2005,0.085,nan,,,,,,,,,,,,,,,,,,
12/31/2004,0.06,nan,,,,,,,,,,,,,,,,,,
9/30/2004,0.0625,nan,,,,,,,,,,,,,,,,,,
6/30/2004,0.06,nan,,,,,,,,,,,,,,,,,,
3/31/2004,0.0625,nan,,,,,,,,,,,,,,,,,,
12/31/2003,0.1075,nan,,,,,,,,,,,,,,,,,,
9/30/2003,0.0425,nan,,,,,,,,,,,,,,,,,,
6/30/2003,0.0575,nan,,,,,,,,,,,,,,,,,,
3/31/2003,-0.27625,nan,,,,,,,,,,,,,,,,,,
12/31/2002,0.02125,nan,,,,,,,,,,,,,,,,,,
9/30/2002,0.0125,nan,,,,,,,,,,,,,,,,,,
6/28/2002,0.0125,nan,,,,,,,,,,,,,,,,,,
3/28/2002,-0.0025,nan,,,,,,,,,,,,,,,,,,
12/31/2001,0.0775,nan,,,,,,,,,,,,,,,,,,
9/28/2001,-0.01625,nan,,,,,,,,,,,,,,,,,,
6/29/2001,-0.02125,nan,,,,,,,,,,,,,,,,,,
3/30/2001,-0.01375,nan,,,,,,,,,,,,,,,,,,
12/29/2000,-0.0125,nan,,,,,,,,,,,,,,,,,,
9/29/2000,-0.011875,nan,,,,,,,,,,,,,,,,,,
6/30/2000,-0.0025,nan,,,,,,,,,,,,,,,,,,
3/31/2000,-0.011875,nan,,,,,,,,,,,,,,,,,,
12/31/1999,-0.00625,nan,,,,,,,,,,,,,,,,,,
9/30/1999,-0.021875,nan,,,,,,,,,,,,,,,,,,
6/30/1999,-0.00875,nan,,,,,,,,,,,,,,,,,,
3/31/1999,-0.0115625,nan,,,,,,,,,,,,,,,,,,
12/31/1998,-0.0140625,nan,,,,,,,,,,,,,,,,,,
9/30/1998,0.0015625,nan,,,,,,,,,,,,,,,,,,
6/30/1998,-0.0140625,nan,,,,,,,,,,,,,,,,,,
3/31/1998,-0.00586084,nan,,,,,,,,,,,,,,,,,,
12/31/1997,-0.009846212,nan,,,,,,,,,,,,,,,,,,
9/30/1997,-0.008205176,nan,,,,,,,,,,,,,,,,,,
6/30/1997,0.002109902,nan,,,,,,,,,,,,,,,,,,
3/31/1997,-0.006329707,nan,,,,,,,,,,,,,,,,,,
12/31/1996,-0.006564141,nan,,,,,,,,,,,,,,,,,,
9/30/1996,0.007033008,nan,,,,,,,,,,,,,,,,,,
6/28/1996,-0.010080645,nan,,,,,,,,,,,,,,,,,,
3/29/1996,-0.009846212,nan,,,,,,,,,,,,,,,,,,
12/29/1995,-0.029796767,nan,,,,,,,,,,,,,,,,,,
9/29/1995,-0.009377344,nan,,,,,,,,,,,,,,,,,,
6/30/1995,-0.009611778,nan,,,,,,,,,,,,,,,,,,
