CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Adjusted Diluted,,12/31/2026,,0.18,8/4/2025,0.19,6/28/2025,0.2,5/14/2025,0.15,3/5/2025,0.15,12/24/2024,0.17,11/14/2024,0.16,10/4/2024,0.15,8/20/2024,0.15,7/27/2024,,,
,,9/30/2026,,0.2,,0.2,,0.22,,0.2,,0.2,,0.2,,0.19,,0.18,,0.18,,,,
,,6/30/2026,,0.17,,0.17,,0.2,,0.16,,0.16,,0.17,,0.17,,0.16,,0.16,,,,
,,3/30/2026,,0.12,,0.11,,0.14,,0.09,,0.09,,0.1,,0.1,,0.09,,0.09,,,,
,,12/31/2025,,0.11,3/5/2025,0.12,3/5/2025,0.13,3/5/2025,0.15,3/5/2025,0.15,12/24/2024,0.17,11/14/2024,0.16,10/4/2024,0.15,8/20/2024,0.15,7/27/2024,,,
,,9/30/2025,,0.15,,0.15,,0.14,,0.2,,0.2,,0.2,,0.19,,0.18,,0.18,,,,
,7/31/2025,6/30/2025,-0.01,0.04,,0.04,,0.06,,0.16,,0.16,,0.17,,0.17,,0.16,,0.16,,,,
,5/8/2025,3/30/2025,-0.08,0.04,,0.09,,0.09,,0.1,,0.1,,0.09,,0.09,,,,,,,,
,2/27/2025,12/31/2024,0.23,0.04,,0.03,,0.06,,0.11,,0.1,,0.1,,,,,,,,,,
,11/12/2024,9/30/2024,-0.19,0.08,,0.08,,0.08,,0.08,,,,,,,,,,,,,,
,8/1/2024,6/30/2024,0.01,0.06,,0.06,,,,,,,,,,,,,,,,,,
,5/2/2024,3/30/2024,0.11,0.04,,0.04,,,,,,,,,,,,,,,,,,
,2/22/2024,12/31/2023,-0.09,0.01,,0.01,,,,,,,,,,,,,,,,,,
,11/2/2023,9/30/2023,0.04,-0.01,,-0.01,,,,,,,,,,,,,,,,,,
,8/3/2023,6/30/2023,0.05,-0.02,,-0.02,,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,-0.16,-0.06,,-0.06,,,,,,,,,,,,,,,,,,
,2/28/2023,12/31/2022,-0.14,-0.1,,-0.1,,,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,0.04,-0.08,,-0.08,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,0.02,-0.03,,-0.03,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,0.4,0.15,,0.15,,,,,,,,,,,,,,,,,,
,2/24/2022,12/31/2021,0.32,0.32,,0.32,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.54,0.57,,0.57,,,,,,,,,,,,,,,,,,
,8/12/2021,6/30/2021,0.4,0.46,,0.46,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,1.07,0.91,,0.91,,,,,,,,,,,,,,,,,,
,2/25/2021,12/31/2020,1.09,1.16,,1.16,,,,,,,,,,,,,,,,,,
,11/10/2020,9/30/2020,0.54,1.22,,1.22,,,,,,,,,,,,,,,,,,
,,6/30/2020,0.06,0.87,,0.87,,,,,,,,,,,,,,,,,,
,,3/31/2020,0.07,0.86,,0.86,,,,,,,,,,,,,,,,,,
