CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
N,,12/31/2021,1.53,10/12/2020,1.53,9/13/2020,1.58,8/6/2020,1.58,8/5/2020,,,,,,,
,,9/30/2021,1.49,,1.49,,1.39,,1.39,,,,,,,,
,,6/30/2021,1.42,,1.42,,1.26,,1.26,,,,,,,,
,,3/31/2021,1.34,,1.34,,1.24,,1.24,,,,,,,,
N,,12/31/2020,1.43,7/13/2020,1.43,7/13/2020,1.46,7/13/2020,1.28,7/13/2020,1.28,4/14/2020,1.28,1.26,1.288571429,,
,,9/30/2020,1.33,,1.33,,1.19,,1.19,,1.21,,1.21,1.2,1.17,1.181190476,
,8/5/2020,6/30/2020,1.43,,1.09,,1.11,,1.11,1.1,1.095285714,,,,,,
,5/7/2020,3/31/2020,0.7,,0.98,,0.98,0.97,0.94,0.955690476,,,,,,,
N,2/26/2020,12/31/2019,0.7,4/14/2020,1.2,,1.2,1.17,1.16,1.17,1.19,1.2,1.22,,,,
,11/6/2019,9/30/2019,0.96,,1.11,,1.11,1.1,1.09,1.07,1.06,1.09,1.08,1.07,,,
,8/7/2019,6/28/2019,0.80125637,,1.01,,1.02,1.03,1.02,1.01,,,,,,,
,5/8/2019,3/29/2019,0.604610896,,0.89,,0.91,0.93,0.9,0.87,0.86,,,,,,
,2/27/2019,12/31/2018,0.659943476,,1.02,,1.03,1.02,1.06,1.08,1.05,0.75,0.69,0.7,0.68,0.67,
,10/31/2018,9/28/2018,0.682992097,,0.95,,0.94,0.76,0.7,0.67,0.64,,,,,,
,8/1/2018,6/29/2018,0.546380844,,0.78,,0.79,0.83,0.75,0.7,0.67,0.61,0.6,,,,
,5/2/2018,3/29/2018,0.276894754,,0.6,,0.63,0.6,0.57,0.59,0.56,0.52,,,,,
,2/28/2018,12/29/2017,1.021709059,,0.61,,0.63,0.61,0.62,0.59,0.6,0.58,,,,,
,11/6/2017,9/29/2017,0.60553492,,0.59,,0.57,0.56,0.55,0.53,0.52,,,,,,
,8/2/2017,6/30/2017,0.629244961,,0.54,,0.51,0.52,0.54,0.55,0.57,0.55,0.54,,,,
,5/3/2017,3/31/2017,0.53075899,,0.44,,0.47,0.49,0.48,0.49,0.48,0.44,0.57,,,,
,,12/30/2016,0.552632489,,0.57,,0.56,0.54,0.55,0.56,0.54,0.52,0.5,,,,
,,9/30/2016,0.542679796,,0.5,,0.51,0.52,0.53,0.47,0.52,,,,,,
,,6/30/2016,0.535138328,,0.52,,0.53,0.52,0.55,0.53,,,,,,,
,,3/31/2016,0.435873686,,0.37,,0.5,0.48,,,,,,,,,
,,12/31/2015,0.438306131,,0.45,,0.46,0.47,0.38,0.39,,,,,,,
,,9/30/2015,0.502244257,,0.43,,0.37,0.36,,,,,,,,,
,,6/30/2015,0.510579551,,0.41,,0.37,,,,,,,,,,
,,3/31/2015,0.389090975,,0.35,,0.37,,,,,,,,,,
,,12/31/2014,0.317691349,,0.35,,0.37,0.33,0.36,0.34,,,,,,,
,,9/30/2014,0.355708353,,0.34,,0.31,0.34,0.32,,,,,,,,
,,6/30/2014,0.350808672,,0.32,,0.35,0.27,,,,,,,,,
,,3/31/2014,0.235570496,,0.27,,0.36,0.32,,,,,,,,,
,,12/31/2013,0.288417465,,0.32,,0.31,,,,,,,,,,
,,9/30/2013,0.30828751,,0.31,,0.29,,,,,,,,,,
,,6/28/2013,0.338062372,,0.28,,0.32,,,,,,,,,,
,,3/28/2013,0.368171972,,0.33,,0.39,0.38,0.4,0.37,,,,,,,
,,12/31/2012,0.431338264,,0.37,,0.4,0.37,,,,,,,,,
,,9/28/2012,0.357424533,,0.38,,,,,,,,,,,,
,,6/29/2012,0.323666965,,,,,,,,,,,,,,
,,3/30/2012,0.420715485,,,,,,,,,,,,,,
,,12/30/2011,0.394148148,,,,,,,,,,,,,,
,,9/30/2011,-2.078492438,,,,,,,,,,,,,,
,,6/30/2011,0.533509469,,,,,,,,,,,,,,
,,3/31/2011,0.419254152,,,,,,,,,,,,,,
,,12/31/2010,0.625602337,,,,,,,,,,,,,,
