Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,
12/31/2020,2.22,1/27/2020,2.29,1/15/2020,2.28,11/21/2019,2.28,10/8/2019,2.26,,2.26,,2.25,,2.24,,2.21,2.239741697,,
9/30/2020,2.23,,2.28,,2.28,,2.27,,2.31,,2.31,,2.32,,2.28,,2.294907749,,,
6/30/2020,2.29,,2.24,,2.25,,2.26,,2.26,,2.26,,2.25,,2.261808118,,,,,
3/31/2020,2.19,,2.15,,2.17,,2.18,,2.15,,2.15,,2.16,,2.15,,2.22,2.195608856,,
12/31/2019,2.03,,2.02,,2.02,,2.02,,2.02,,2.02,,2.01,,2.03,,2.01,2.07,2.06,2.04
9/30/2019,2.08,,2.03,,2.06,,2.06,,2.07,,2.08,,2.04,2.05,2.01,,,,,
6/28/2019,2.068181818,,2.04,,2.03,,2.04,,2.05,,2.03,2.04,2.02,,,,,,,
3/29/2019,1.800711744,,1.99,,2,,1.99,,1.94,,1.95,1.97,,,,,,,,
12/31/2018,2.318075117,,1.8,,1.79,,1.8,,1.82,,1.62,1.61,1.58,,,,,,,
9/28/2018,1.884883721,,1.77,,1.76,,1.71,,1.63,,,,,,,,,,,
6/29/2018,1.845707657,,1.82,,1.74,,1.57,,1.58,,,,,,,,,,,
3/29/2018,1.858304297,,1.65,,1.51,,1.5,,1.49,,,,,,,,,,,
12/29/2017,-1.409248555,,1.54,,1.47,,1.46,,1.43,,1.41,1.39,1.41,1.42,,,,,,
9/29/2017,1.502837684,,1.48,,1.47,,1.48,,1.49,,1.46,1.45,1.38,1.41,,,,,,
6/30/2017,1.466965286,,1.44,,1.43,,1.42,,1.4,,1.42,1.41,,,,,,,,
3/31/2017,1.335548173,,1.28,,1.29,,1.3,,1.32,,1.33,1.34,,,,,,,,
12/30/2016,0.876232202,,0.98,,0.97,,1.08,,1.14,,1.31,1.38,1.37,,,,,,,
9/30/2016,1.204767064,,0.97,,0.96,,1.1,,1.22,,1.34,1.41,1.4,,,,,,,
6/30/2016,2.103081828,,1.95,,1.93,,1.79,,1.38,,1.4,1.39,,,,,,,,
3/31/2016,1.447559709,,1.35,,1.34,,1.39,,1.48,,1.51,,,,,,,,,
12/31/2015,0.889908257,,1.12,,1.31,,1.27,,1.32,,1.35,1.44,1.51,1.56,1.59,,,,,
9/30/2015,1.237713139,,1.31,,1.36,,1.39,,1.48,,1.53,1.52,,,,,,,,
6/30/2015,1.423494571,,1.32,,1.37,,1.4,,1.48,,1.5,1.49,,,,,,,,
3/31/2015,1.479960899,,1.37,,1.38,,1.44,,1.47,,1.42,1.39,,,,,,,,
12/31/2014,1.390125847,,1.38,,1.39,,1.37,,1.39,,1.4,1.39,1.37,1.36,1.37,,,,,
9/30/2014,1.41069723,,1.37,,1.36,,1.37,,1.35,,1.34,1.38,,,,,,,,
6/30/2014,1.433837429,,1.38,,1.37,,1.4,,1.38,,1.35,1.3,,,,,,,,
3/31/2014,1.3420806,,1.3,,1.29,,1.25,,1.24,,1.26,,,,,,,,,
12/31/2013,1.219012116,,1.25,,1.24,,1.22,,1.22,,,,,,,,,,,
9/30/2013,1.263644773,,1.22,,1.21,,1.2,,1.21,,,,,,,,,,,
