Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,
12/31/2020,0.35,1/10/2020,0.4,9/28/2010,0.4,,0.39,,0.39,,0.38,,0.391395349,,,,
9/30/2020,0.22,,0.26,,0.26,,0.25,,0.25,,0.249069767,,,,,,
6/30/2020,0.21,,0.23,,0.24,,0.22,,0.22,,0.213488372,,,,,,
3/31/2020,0.2,,0.23,,0.23,,0.22,,0.22,,0.21,,0.2,0.177906977,,,
12/31/2019,0.28,,0.33,,0.33,,0.33,,0.33,,0.29,,0.26,0.28,,,
9/30/2019,0.05,,0.2,,0.21,,0.21,,0.21,,0.2,,0.21,0.22,0.29,0.17,0.19
6/28/2019,1.426089349,,0.19,,0.18,,0.2,,0.18,,,,,,,,
3/29/2019,0.245347433,,0.15,,0.18,,0.19,,0.18,,0.17,0.18,0.17,,,,
12/31/2018,0.328944029,,0.25,,0.23,,0.26,,,,,,,,,,
9/28/2018,1.016980626,,0.14,,0.17,,,,,,,,,,,,
6/29/2018,0.1295919,,0.17,,,,,,,,,,,,,,
3/29/2018,0.079645001,,0.12,,,,,,,,,,,,,,
12/29/2017,0.120693425,,0.14,,,,,,,,,,,,,,
9/29/2017,-0.028641643,,0.07,,,,,,,,,,,,,,
6/30/2017,-0.159557521,,0.05,,,,,,,,,,,,,,
3/31/2017,-0.085312888,,0.01,,,,,,,,,,,,,,
12/30/2016,-0.234158892,,0.12,,,,,,,,,,,,,,
9/30/2016,-0.146090275,,0.09,,,,,,,,,,,,,,
6/30/2016,-0.153509965,,0.1,,,,,,,,,,,,,,
3/31/2016,-0.115246022,,0.1,,,,,,,,,,,,,,
12/31/2015,-0.132369861,,0.12,,,,,,,,,,,,,,
9/30/2015,-0.19639012,,0.05,,,,,,,,,,,,,,
6/30/2015,-0.208472811,,0.04,,,,,,,,,,,,,,
3/31/2015,-0.253566165,,0.04,,,,,,,,,,,,,,
12/31/2014,-0.199265863,,nan,,,,,,,,,,,,,,
9/30/2014,-0.285646856,,nan,,,,,,,,,,,,,,
6/30/2014,-0.242777536,,nan,,,,,,,,,,,,,,
3/31/2014,-0.23,,nan,,,,,,,,,,,,,,
12/30/2013,-1.41,,nan,,,,,,,,,,,,,,
