Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,12/31/2020,0.99,3/8/2020,1.01,2/5/2020,1.05,1/12/2020,1.02,9/23/2019,0.99,,0.99,,1.01,,1.020835381,1.044975845,,,,
,9/30/2020,1.02,,1.01,,1.04,,0.92,,0.95,,0.95,,1.0,,1.01,0.9882555279999999,0.9803381640000001,,,
,6/30/2020,1.03,,1.03,,1.06,,1.08,,1.07,,1.07,,1.08,,1.07,1.06,1.00997543,0.9911111109999999,,
,3/31/2020,0.98,,1.0,,1.03,,1.04,,1.05,,1.05,,1.04,,0.96,0.8905159709999999,0.8726086959999999,,,
,12/31/2019,0.9,,0.98,,0.99,,0.98,,0.98,,0.95,,0.99,0.94,0.97,0.91,0.93,0.92,0.91,0.97
,9/30/2019,0.9,,0.87,,0.9,,0.9,,0.91,,0.9,0.91,0.92,0.91,0.84,0.86,0.89,0.93,0.91,0.87
,6/28/2019,0.972333654,,0.95,,0.93,,0.92,,0.89,0.91,0.92,0.91,0.88,,,,,,,
,3/29/2019,0.945919418,,0.82,,0.81,,0.78,,0.8,0.81,0.8,0.81,0.82,0.77,,,,,,
,12/31/2018,1.004860351,,0.83,,0.85,,0.78,,0.81,0.82,0.78,0.82,0.79,,,,,,,
,9/28/2018,1.514627786,,0.99,,0.81,,0.79,,0.78,0.79,0.83,0.87,,,,,,,,
,6/29/2018,0.849580696,,0.8,,0.78,,0.86,,,,,,,,,,,,,
,3/29/2018,0.778445671,,0.72,,0.7,,0.66,,0.84,,,,,,,,,,,
,12/29/2017,0.7144898540000001,,0.71,,0.72,,0.79,,,,,,,,,,,,,
,9/29/2017,0.740634173,,0.68,,0.8,,,,,,,,,,,,,,,
,6/30/2017,0.716371819,,0.68,,0.64,,,,,,,,,,,,,,,
,3/31/2017,0.653463886,,0.55,,0.62,,,,,,,,,,,,,,,
,12/30/2016,0.592761953,,0.53,,0.59,,,,,,,,,,,,,,,
,9/30/2016,0.599810505,,0.5,,,,,,,,,,,,,,,,,
,6/30/2016,0.517967638,,0.44,,,,,,,,,,,,,,,,,
,3/31/2016,0.41286661799999996,,0.35,,,,,,,,,,,,,,,,,
,12/31/2015,0.29112389699999996,,0.35,,,,,,,,,,,,,,,,,
,9/30/2015,0.49968505700000004,,,,,,,,,,,,,,,,,,,
,6/30/2015,0.398363354,,,,,,,,,,,,,,,,,,,
,3/31/2015,0.340741995,,,,,,,,,,,,,,,,,,,
,12/31/2014,0.418159779,,,,,,,,,,,,,,,,,,,
,9/30/2014,0.29968294,,,,,,,,,,,,,,,,,,,
,6/30/2014,0.379805529,,,,,,,,,,,,,,,,,,,
