CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
N,,12/31/2022,2.56,5/22/2021,2.44,5/6/2021,2.44,4/5/2021,2.44,3/3/2021,1.52,2/4/2021,1.52,12/23/2020,1.45,11/20/2020,1.45,11/19/2020,,,,,
,,9/30/2022,2.24,,2.21,,2.21,,2.13,,1.54,,1.54,,1.47,,1.47,,,,,,
,,6/30/2022,2.27,,2.18,,2.18,,2.04,,1.65,,1.65,,1.56,,1.56,,,,,,
,,3/31/2022,1.9,,2.12,,2.12,,1.94,,1.81,,1.81,,1.79,,1.79,,,,,,
,,12/31/2021,2.44,,2.38,4/5/2021,2.44,4/5/2021,2.44,3/3/2021,1.52,2/4/2021,1.52,12/23/2020,1.45,11/20/2020,1.45,11/19/2020,,,,,
,,9/30/2021,2.15,,2.17,,2.13,,2.13,,1.54,,1.54,,1.47,,1.47,,,,,,
,,6/30/2021,2.04,,2.04,,2.04,,2.04,,1.65,,1.65,,1.56,,1.56,,,,,,
,5/6/2021,3/31/2021,1.79,,1.94,,1.94,,1.81,,1.81,,1.79,,1.79,,,,,,,,
,2/4/2021,12/31/2020,2.59,,1.34,,1.32,,1.32,,,,,,,,,,,,,,
,10/29/2020,9/30/2020,1.66,,1.66,,,,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,1.95,,1.95,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,1.49,,1.49,,,,,,,,,,,,,,,,,,
,2/5/2020,12/31/2019,1.34,,1.34,,,,,,,,,,,,,,,,,,
,11/6/2019,9/30/2019,1.39,,1.39,,,,,,,,,,,,,,,,,,
,8/7/2019,6/28/2019,1.33,,1.33,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,1.39,,1.39,,,,,,,,,,,,,,,,,,
,2/6/2019,12/31/2018,1.41,,1.41,,,,,,,,,,,,,,,,,,
,10/31/2018,9/28/2018,1.15,,1.15,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,1.26,,1.26,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,1.14,,1.14,,,,,,,,,,,,,,,,,,
,2/7/2018,12/29/2017,3.03,,3.03,,,,,,,,,,,,,,,,,,
,11/8/2017,9/29/2017,1.05,,1.05,,,,,,,,,,,,,,,,,,
,8/2/2017,6/30/2017,1.06,,1.06,,,,,,,,,,,,,,,,,,
,5/3/2017,3/31/2017,1.33,,1.33,,,,,,,,,,,,,,,,,,
,,12/30/2016,1.16,,1.16,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.96,,0.96,,,,,,,,,,,,,,,,,,
,,6/30/2016,1.05,,1.05,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.5,,0.5,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.67,,0.67,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.66,,0.66,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.67,,0.67,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.66,,0.66,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.5,,0.5,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.47,,0.47,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.21,,0.21,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.33,,0.33,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.23,,0.23,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.42,,0.42,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.23,,0.23,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.34,,0.34,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.28,,0.28,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.42,,0.42,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.27,,0.27,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.5,,0.5,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.28,,0.28,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.51,,0.51,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.31,,0.31,,,,,,,,,,,,,,,,,,
,,12/31/2010,-1.34,,-1.34,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.48,,0.48,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.8,,0.8,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.73,,0.73,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.73,,0.73,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.42,,0.42,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.79,,0.79,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.85,,0.85,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.4,,0.4,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.35,,0.35,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.35,,0.35,,,,,,,,,,,,,,,,,,
