Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,
12/31/2020,0.43,9/14/2019,0.46,9/14/2019,0.48,,0.48,,0.491005587,,,,,,
9/30/2020,0.43,,0.45,,0.47,,0.47,,0.48,,0.480558659,,,,
6/30/2020,0.42,,0.44,,0.46,,0.46,,0.47,,0.459664804,,,,
3/31/2020,0.41,,0.43,,0.45,,0.45,,0.43877095,,,,,,
12/31/2019,0.42,,0.44,,0.46,,0.46,,0.47,,0.48,,,,
9/30/2019,0.44,,0.44,,0.45,,0.45,,0.46,,0.47,,,,
6/28/2019,0.430082662,,0.43,,0.44,,0.46,,,,,,,,
3/29/2019,0.4207156,,0.43,,0.42,,0.44,,,,,,,,
12/31/2018,0.409841268,,0.45,,0.44,,0.39,,0.43,,0.42,,,,
9/28/2018,0.459114641,,0.45,,0.43,,0.38,,0.41,,,,,,
6/29/2018,0.437086055,,0.44,,0.43,,0.38,,0.4,,,,,,
3/29/2018,0.418985796,,0.41,,0.4,,0.35,,0.38,,,,,,
12/29/2017,0.133691619,,0.34,,0.36,,0.37,,0.36,,0.35,0.34,,,
9/29/2017,0.102222958,,0.34,,0.35,,0.34,,0.33,,0.335,,,,
6/30/2017,0.347615809,,0.33,,0.34,,0.33,,0.32,,,,,,
3/31/2017,0.328832496,,0.33,,0.32,,0.31,,0.305,,,,,,
12/30/2016,0.345146007,,0.33,,0.32,,0.31,,0.315,,0.31,0.305,0.295,0.285,
9/30/2016,0.310014712,,0.31,,0.305,,0.3,,0.285,,0.28,,,,
6/30/2016,0.309434741,,0.3,,0.295,,0.29,,0.285,,0.27,0.28,,,
3/31/2016,0.294460082,,0.28,,0.285,,0.275,,0.255,,0.26,,,,
12/31/2015,0.266207259,,0.28,,0.275,,0.27,,0.265,,0.27,0.265,0.26,0.265,
9/30/2015,0.2624888,,0.26,,0.255,,,,,,,,,,
6/30/2015,0.24962085,,0.245,,0.25,,0.245,,,,,,,,
3/31/2015,0.229075571,,0.235,,0.24,,0.235,,,,,,,,
12/31/2014,0.221172749,,0.23,,0.235,,0.24,,0.235,,0.23,0.225,0.215,0.21,0.225
9/30/2014,0.205438633,,0.225,,0.23,,0.225,,0.22,,0.21,0.205,0.22,,
6/30/2014,0.216866275,,0.22,,0.215,,0.21,,0.2,,0.195,0.21,,,
3/31/2014,0.20864435,,0.21,,0.205,,0.2,,0.19,,0.185,0.185,,,
12/31/2013,0.102397444,,0.165,,0.18,,0.185,,0.16,,,,,,
9/30/2013,0.162160014,,0.155,,0.16,,0.155,,,,,,,,
6/28/2013,0.15606165,,0.155,,0.1575,,0.155,,0.155,,,,,,
3/28/2013,0.155198642,,0.1525,,0.15,,0.165,,,,,,,,
12/28/2012,0.149934499,,0.1625,,0.14,,,,,,,,,,
9/28/2012,0.141976289,,0.14,,,,,,,,,,,,
6/29/2012,0.136919704,,0.135,,,,,,,,,,,,
3/30/2012,0.127573827,,0.12,,,,,,,,,,,,
12/30/2011,0.124450965,,nan,,,,,,,,,,,,
9/30/2011,0.120699892,,nan,,,,,,,,,,,,
6/30/2011,0.112199373,,nan,,,,,,,,,,,,
3/31/2011,0.105032785,,nan,,,,,,,,,,,,
12/31/2010,-0.126547203,,nan,,,,,,,,,,,,
9/30/2010,0.07759042,,nan,,,,,,,,,,,,
6/30/2010,0.059417197,,nan,,,,,,,,,,,,
3/31/2010,0.112872415,,nan,,,,,,,,,,,,
12/31/2009,0.0625,,nan,,,,,,,,,,,,
9/30/2009,0.0725,,nan,,,,,,,,,,,,
6/30/2009,0.055,,nan,,,,,,,,,,,,
3/31/2009,0.0625,,nan,,,,,,,,,,,,
12/31/2008,-0.115,,nan,,,,,,,,,,,,
9/30/2008,0.08,,nan,,,,,,,,,,,,
6/30/2008,0.07,,nan,,,,,,,,,,,,
3/31/2008,0.09,,nan,,,,,,,,,,,,
12/31/2007,0.07,,nan,,,,,,,,,,,,
9/28/2007,0.0725,,nan,,,,,,,,,,,,
6/29/2007,0.07,,nan,,,,,,,,,,,,
3/30/2007,0.0675,,nan,,,,,,,,,,,,
12/29/2006,0.065,,nan,,,,,,,,,,,,
9/29/2006,0.0625,,nan,,,,,,,,,,,,
6/30/2006,0.0625,,nan,,,,,,,,,,,,
3/31/2006,0.06,,nan,,,,,,,,,,,,
