Date,Q_EPS_Diluted,,,,,,,,,,,,
12/31/2020,3.05,3.13,3.13,3.16,3.19,3.23,3.210826806,,,,,,
9/30/2020,2.98,3.05,3.05,3.08,3.1,3.13,3.1354047,,,,,,
6/30/2020,2.84,2.95,2.95,2.96,2.99,3.02,3.059982594,,,,,,
3/31/2020,2.78,2.88,2.88,2.89,2.92,2.94,2.984560487,,,,,,
12/31/2019,2.8,2.88,2.88,2.89,2.91,2.98,2.93,2.92,3.09,3.15,,,
9/30/2019,2.72,2.8,2.8,2.81,2.84,2.91,2.86,3.02,3.01,3.06,,,
6/28/2019,2.726470046,2.71,2.72,2.75,2.83,2.84,2.79,2.92,2.96,,,,
3/29/2019,2.654646299,2.77,2.76,2.77,2.71,2.72,2.81,2.86,,,,,
12/31/2018,2.944115978,2.8,2.92,2.91,2.9,2.89,2.68,2.49,2.71,2.8,2.81,,
9/28/2018,2.838234756,2.83,2.87,2.86,2.83,2.65,2.43,2.63,2.71,2.72,,,
6/29/2018,2.831278961,2.8,2.74,2.75,2.57,2.35,2.51,2.59,2.6,,,,
3/29/2018,0.633734718,2.67,2.5,2.28,2.4,2.46,2.5,,,,,,
12/29/2017,2.112952167,2.23,2.25,2.38,2.44,2.46,2.45,2.44,2.53,2.55,2.57,,
9/29/2017,2.29228361,2.19,2.3,2.34,2.35,2.36,2.35,2.33,2.42,2.43,2.46,,
6/30/2017,0.257082336,2.21,2.22,2.23,2.22,2.2,2.29,2.3,2.33,,,,
3/31/2017,2.475387715,2.1,2.09,2.1,2.16,2.18,2.22,2.09,,,,,
12/30/2016,2.107602664,2.09,2.08,2.1,2.16,2.17,2.2,2.24,2.22,2.19,2.04,,
9/30/2016,1.411587967,2.03,2.08,2.09,2.08,2.11,2.14,2.12,2.09,1.97,,,
6/30/2016,1.897375942,1.97,2.01,2.02,2,1.96,1.95,,,,,,
3/31/2016,1.965929061,1.95,1.94,1.93,1.92,1.88,1.93,,,,,,
12/31/2015,2.005960149,1.93,1.92,1.9,1.86,1.85,1.84,1.82,1.83,1.85,1.81,,
9/30/2015,1.877048221,1.82,1.79,1.78,1.77,1.75,1.83,1.75,1.76,1.72,1.73,1.72,1.73
6/30/2015,1.766249487,1.69,1.68,1.66,1.65,1.75,1.64,1.65,1.61,1.63,,,
3/31/2015,1.638567948,1.59,1.58,1.64,1.57,1.53,1.54,1.55,1.51,,,,
12/31/2014,1.598280195,1.58,1.56,1.55,1.52,1.53,1.55,1.42,1.36,1.28,1.45,,
9/30/2014,1.520018207,1.46,1.47,1.55,1.49,1.48,1.37,1.32,1.31,1.23,1.42,,
6/30/2014,1.48234043,1.43,1.42,1.41,1.31,1.26,1.25,1.18,1.35,,,,
3/31/2014,1.370292713,1.35,1.25,1.21,1.2,1.13,1.26,,,,,,
12/31/2013,1.335575207,1.27,1.26,1.21,1.2,1.14,1.18,,,,,,
9/30/2013,1.252247752,1.18,1.17,1.13,1.12,1.11,1.12,1.07,,,,,
6/28/2013,1.118362578,1.08,1.07,1.08,1.03,,,,,,,,
3/28/2013,1.057564175,1.04,1.02,1.01,,,,,,,,,
12/31/2012,1.051776948,1.02,0.95,,,,,,,,,,
9/28/2012,1.003555724,0.95,,,,,,,,,,,
6/29/2012,0.957194496,0.89,,,,,,,,,,,
3/30/2012,0.900490957,0.86,,,,,,,,,,,
12/30/2011,0.85,nan,,,,,,,,,,,
9/30/2011,0.83,nan,,,,,,,,,,,
6/30/2011,0.87,nan,,,,,,,,,,,
3/31/2011,0.82,nan,,,,,,,,,,,
12/31/2010,0.72,nan,,,,,,,,,,,
9/30/2010,0.66,nan,,,,,,,,,,,
6/30/2010,0.54,nan,,,,,,,,,,,
3/31/2010,0.54,nan,,,,,,,,,,,
12/31/2009,0.51,nan,,,,,,,,,,,
9/30/2009,0.369809573,nan,,,,,,,,,,,
6/30/2009,0.323947852,nan,,,,,,,,,,,
3/31/2009,0.067797564,nan,,,,,,,,,,,
12/31/2008,0.366936163,nan,,,,,,,,,,,
9/30/2008,0.294249416,nan,,,,,,,,,,,
6/30/2008,0.360987293,nan,,,,,,,,,,,
3/31/2008,0.276514514,nan,,,,,,,,,,,
12/31/2007,-0.100521023,nan,,,,,,,,,,,
9/28/2007,0.357147606,nan,,,,,,,,,,,
6/29/2007,0.341227018,nan,,,,,,,,,,,
3/30/2007,0.309262271,nan,,,,,,,,,,,
12/29/2006,0.296750276,nan,,,,,,,,,,,
9/29/2006,0.277121339,nan,,,,,,,,,,,
6/30/2006,0.28,nan,,,,,,,,,,,
3/31/2006,0.267352012,nan,,,,,,,,,,,
12/30/2005,0.24929331,nan,,,,,,,,,,,
9/30/2005,0.215718613,nan,,,,,,,,,,,
6/30/2005,-0.123983671,nan,,,,,,,,,,,
